number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.3905186973003844,COMPLETE,2025-11-26 01:02:34.854029,2025-11-26 01:02:46.651225,0 days 00:00:11.797196,"[64, 64, 64, 128]",[0],[0],silu,128,128,0.2,0.001,L2,4,increasing,0.9,mean,True,1e-06
1,0.4373192690244692,COMPLETE,2025-11-26 01:02:46.651225,2025-11-26 01:03:18.550807,0 days 00:00:31.899582,"[896, 896, 896, 896, 896]",[3],"[0, 3]",gelu,896,32,0.5,0.0002,minmax,5,uniform,0.9,max,True,1e-06
2,0.4096225252805824,COMPLETE,2025-11-26 01:03:18.552710,2025-11-26 01:03:33.384475,0 days 00:00:14.831765,"[512, 512, 512, 512, 512, 512]",[2],"[1, 2, 3]",elu,512,128,0.2,0.0001,L2,6,uniform,0.5,mean,True,0.0001
3,0.21758419036095988,COMPLETE,2025-11-26 01:03:33.386476,2025-11-26 01:03:42.586615,0 days 00:00:09.200139,"[128, 256]",[0],[],elu,256,64,,0.0001,L2,2,increasing,,max,False,1e-06
4,0.38219505951176735,COMPLETE,2025-11-26 01:03:42.588626,2025-11-26 01:04:01.800372,0 days 00:00:19.211746,"[256, 256, 256, 256, 256]","[1, 3]",[0],relu,256,48,0.2,0.001,L2,5,uniform,0.6,mean,True,0.0001
5,0.21637426900584797,PRUNED,2025-11-26 01:04:01.803554,2025-11-26 01:04:06.202133,0 days 00:00:04.398579,[1024],[],[],relu,1024,32,,0.0001,minmax,1,increasing,0.9,max,True,1e-07
6,0.1761006289308176,PRUNED,2025-11-26 01:04:06.202133,2025-11-26 01:04:26.742717,0 days 00:00:20.540584,"[128, 64, 64, 64, 64, 64]","[0, 1, 2]","[0, 2, 4]",relu,128,16,0.4,5e-05,minmax,6,decreasing,0.7,mean,True,0.0001
7,0.21839080459770113,PRUNED,2025-11-26 01:04:26.743766,2025-11-26 01:04:30.272000,0 days 00:00:03.528234,"[384, 192, 96, 64]",[],"[1, 2]",gelu,384,128,0.4,0.0001,L2,4,decreasing,,mean,False,1e-05
8,0.24406475960014978,COMPLETE,2025-11-26 01:04:30.273006,2025-11-26 01:04:45.426164,0 days 00:00:15.153158,"[128, 256, 512]",[0],[1],relu,512,48,0.3,5e-05,L2,3,increasing,,mean,False,0.0
9,0.19687943262411345,PRUNED,2025-11-26 01:04:45.428190,2025-11-26 01:04:47.295930,0 days 00:00:01.867740,"[640, 640]",[0],[],tanh,640,128,,2e-05,minmax,2,uniform,0.5,max,True,1e-06
