number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
23,0.44610301517905526,COMPLETE,2025-11-26 00:37:24.354836,2025-11-26 00:37:51.227438,0 days 00:00:26.872602,"[128, 64, 64]","[0, 1]","[0, 1]",tanh,128,32,0.3,0.001,minmax,3,decreasing,,mean,False,1e-05
24,0.43966688196348463,COMPLETE,2025-11-26 00:37:51.229439,2025-11-26 00:38:20.650457,0 days 00:00:29.421018,"[128, 64, 64]","[0, 1]","[0, 1]",tanh,128,32,0.4,0.001,minmax,3,decreasing,,mean,False,1e-05
25,0.43567776254134083,COMPLETE,2025-11-26 00:38:20.651457,2025-11-26 00:39:05.698735,0 days 00:00:45.047278,"[128, 64]",[0],[0],tanh,128,16,0.4,0.001,minmax,2,decreasing,,mean,False,1e-06
26,0.21839080459770113,PRUNED,2025-11-26 00:39:05.700735,2025-11-26 00:39:22.617130,0 days 00:00:16.916395,"[128, 64]",[0],[0],tanh,128,16,0.4,0.001,L2,2,decreasing,0.5,mean,True,1e-05
27,0.21839080459770113,PRUNED,2025-11-26 00:39:22.617130,2025-11-26 00:39:27.991618,0 days 00:00:05.374488,[128],[],[],tanh,128,16,,0.001,minmax,1,decreasing,,mean,False,1e-05
28,0.317963082668965,PRUNED,2025-11-26 00:39:27.992625,2025-11-26 00:39:45.496039,0 days 00:00:17.503414,"[128, 64, 64]",[],"[0, 1]",elu,128,16,0.4,0.001,minmax,3,decreasing,,mean,False,1e-06
29,0.3181357649442756,PRUNED,2025-11-26 00:39:45.497044,2025-11-26 00:39:50.452534,0 days 00:00:04.955490,"[128, 64]",[0],[0],tanh,128,96,0.4,0.001,minmax,2,decreasing,,mean,False,1e-06
30,0.4549044992695984,COMPLETE,2025-11-26 00:39:50.468552,2025-11-26 00:40:15.174784,0 days 00:00:24.706232,"[128, 64, 64]","[0, 1]","[0, 1]",leakyrelu,128,48,0.4,0.001,minmax,3,decreasing,,mean,False,1e-07
31,0.21637426900584797,PRUNED,2025-11-26 00:40:15.176793,2025-11-26 00:40:29.192139,0 days 00:00:14.015346,"[128, 64, 64]","[0, 1]","[0, 1]",leakyrelu,128,48,0.4,0.001,minmax,3,decreasing,,mean,False,1e-07
32,0.427932268445367,COMPLETE,2025-11-26 00:40:29.192139,2025-11-26 00:40:49.255369,0 days 00:00:20.063230,"[128, 64, 64]","[0, 1]","[0, 1]",leakyrelu,128,48,0.4,0.001,minmax,3,decreasing,,mean,False,1e-07
33,0.4242113124146134,COMPLETE,2025-11-26 00:40:49.257680,2025-11-26 00:41:05.120153,0 days 00:00:15.862473,"[256, 128]",[0],[0],gelu,256,48,0.4,0.001,minmax,2,decreasing,,mean,False,1e-07
34,0.25957049486461253,PRUNED,2025-11-26 00:41:05.127855,2025-11-26 00:41:08.516485,0 days 00:00:03.388630,"[128, 64, 64]","[0, 1]","[0, 1]",leakyrelu,128,48,0.4,0.001,L2,3,decreasing,0.9,mean,True,1e-07
35,0.3919702381339017,COMPLETE,2025-11-26 00:41:08.516485,2025-11-26 00:42:04.372058,0 days 00:00:55.855573,"[768, 384]",[0],[0],gelu,768,16,0.4,2e-05,minmax,2,decreasing,,mean,False,1e-07
36,0.29012345679012347,PRUNED,2025-11-26 00:42:04.374068,2025-11-26 00:42:06.688127,0 days 00:00:02.314059,"[128, 128, 128]","[0, 1]","[0, 1]",relu,128,32,0.5,0.001,minmax,3,uniform,,mean,False,0.0001
37,0.21839080459770113,PRUNED,2025-11-26 00:42:06.688127,2025-11-26 00:42:09.399744,0 days 00:00:02.711617,[512],[],[],tanh,512,128,,1e-05,minmax,1,decreasing,,mean,False,1e-06
