number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
23,0.39206349206349206,PRUNED,2025-11-26 01:23:54.061599,2025-11-26 01:23:58.657581,0 days 00:00:04.595982,"[1024, 512, 256, 128, 64]","[0, 1, 2, 3]","[1, 2, 3]",leakyrelu,1024,48,0.2,2e-05,L2,5,decreasing,0.9,max,True,1e-07
24,0.4202355505169428,COMPLETE,2025-11-26 01:23:58.658586,2025-11-26 01:24:39.491085,0 days 00:00:40.832499,"[768, 384, 192, 96, 64, 64]","[0, 1, 2, 3]","[1, 4]",tanh,768,48,0.5,5e-05,L2,6,decreasing,0.6,max,True,1e-06
25,0.478069097768892,COMPLETE,2025-11-26 01:24:39.493093,2025-11-26 01:25:01.635024,0 days 00:00:22.141931,"[128, 64, 64, 64, 64, 64]","[1, 2, 3, 4]","[1, 2, 3]",leakyrelu,128,64,0.2,0.0005,L2,6,decreasing,0.9,max,True,1e-07
26,0.21637426900584797,PRUNED,2025-11-26 01:25:01.637194,2025-11-26 01:25:14.437148,0 days 00:00:12.799954,"[128, 64, 64, 64, 64]","[2, 3]","[2, 3]",leakyrelu,128,64,0.2,0.0005,L2,5,decreasing,0.9,max,True,1e-07
27,0.3092469545957918,PRUNED,2025-11-26 01:25:14.438351,2025-11-26 01:25:21.654023,0 days 00:00:07.215672,"[768, 384, 192, 96]","[1, 2]",[1],leakyrelu,768,64,0.2,5e-05,L2,4,decreasing,0.9,max,True,1e-07
28,0.08888888888888889,PRUNED,2025-11-26 01:25:21.654023,2025-11-26 01:25:27.279583,0 days 00:00:05.625560,"[128, 64, 64, 64, 64, 64]","[1, 2, 3]","[0, 1, 2, 3]",leakyrelu,128,64,0.2,0.0005,L2,6,decreasing,0.7,max,True,1e-07
29,0.29474491752972765,PRUNED,2025-11-26 01:25:27.279583,2025-11-26 01:25:32.082127,0 days 00:00:04.802544,"[896, 448, 224, 112]",[1],[1],relu,896,16,0.2,0.0005,L2,4,decreasing,0.5,max,True,1e-07
30,0.36507936507936506,PRUNED,2025-11-26 01:25:32.082127,2025-11-26 01:25:38.387047,0 days 00:00:06.304920,"[640, 320, 160, 80, 64]","[2, 3]","[0, 2, 3]",leakyrelu,640,128,0.1,2e-05,L2,5,decreasing,0.6,max,True,1e-07
31,0.4563888345674111,COMPLETE,2025-11-26 01:25:38.389048,2025-11-26 01:25:57.494248,0 days 00:00:19.105200,"[128, 64, 64, 64, 64, 64]","[0, 1, 2, 3, 4]","[1, 2]",tanh,128,96,0.3,0.0005,L2,6,decreasing,0.9,max,True,1e-05
32,0.4660268346033666,COMPLETE,2025-11-26 01:25:57.496249,2025-11-26 01:26:22.459461,0 days 00:00:24.963212,"[128, 64, 64, 64, 64, 64]","[1, 2, 3, 4]","[1, 2, 3]",silu,128,64,0.5,0.0005,L2,6,decreasing,0.9,max,True,0.0001
33,0.3581967213114754,PRUNED,2025-11-26 01:26:22.461469,2025-11-26 01:26:29.592441,0 days 00:00:07.130972,"[128, 64, 64, 64, 64]","[1, 2, 3]","[1, 2, 3]",silu,128,64,0.2,0.0005,L2,5,decreasing,0.9,max,True,0.0001
34,0.38490850782871155,PRUNED,2025-11-26 01:26:29.592441,2025-11-26 01:26:37.928845,0 days 00:00:08.336404,"[768, 768, 768, 768, 768, 768]","[1, 2, 3, 4]","[1, 2, 3]",silu,768,64,0.4,0.0005,L2,6,uniform,0.9,max,True,0.0001
35,0.4376632509543901,PRUNED,2025-11-26 01:26:37.929844,2025-11-26 01:26:44.599941,0 days 00:00:06.670097,"[1024, 512, 256, 128, 64]","[1, 2, 3]","[0, 1, 2, 3]",relu,1024,96,0.5,0.0002,L2,5,decreasing,0.8,max,True,0.0001
36,0.3111111111111111,PRUNED,2025-11-26 01:26:44.599941,2025-11-26 01:26:48.294894,0 days 00:00:03.694953,"[512, 512, 512, 512, 512, 512]","[3, 4]","[2, 3]",silu,512,64,0.2,1e-05,minmax,6,uniform,,mean,False,1e-06
37,0.21839080459770113,PRUNED,2025-11-26 01:26:48.294894,2025-11-26 01:26:51.291928,0 days 00:00:02.997034,"[128, 64, 64, 64, 64]","[1, 2, 3]","[0, 1, 2, 3]",silu,128,32,0.4,5e-05,L2,5,decreasing,0.9,max,True,0.0001
