number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
24,0.4066532167292431,COMPLETE,2025-11-22 10:06:31.898263,2025-11-22 10:07:16.256037,0 days 00:00:44.357774,tanh,48,False,0.0,1024.0,5e-05,,L2,True,1,Adam,last,2e-06,[256],[],[],True
25,0.1761006289308176,PRUNED,2025-11-22 10:07:16.258306,2025-11-22 10:07:23.443923,0 days 00:00:07.185617,gelu,128,False,0.2,512.0,5e-05,,L2,False,2,AdamW,last,5e-07,"[896, 896]",[],[],True
26,0.17777777777777778,PRUNED,2025-11-22 10:07:23.444946,2025-11-22 10:07:41.598587,0 days 00:00:18.153641,tanh,96,True,0.0,128.0,0.001,,L2,True,1,AdamW,mean,1e-06,[640],[],[],True
27,0.21839080459770113,PRUNED,2025-11-22 10:07:41.601115,2025-11-22 10:07:59.918697,0 days 00:00:18.317582,relu,48,False,0.30000000000000004,256.0,5e-05,,L2,False,2,Adam,max,1e-07,"[512, 512]",[],[],True
28,0.21758419036095988,COMPLETE,2025-11-22 10:07:59.919699,2025-11-22 10:08:33.410728,0 days 00:00:33.491029,leakyrelu,64,False,0.0,1024.0,0.0001,,minmax,True,1,RMSprop,last,1e-05,[1024],[],[],True
29,0.1761006289308176,PRUNED,2025-11-22 10:08:33.413835,2025-11-22 10:08:53.967902,0 days 00:00:20.554067,,16,False,0.5,,0.001,,minmax,True,3,AdamW,attention,2e-07,"[384, 448, 512]","[1, 3]","[1, 3]",False
30,0.1761006289308176,PRUNED,2025-11-22 10:08:53.969099,2025-11-22 10:09:18.812937,0 days 00:00:24.843838,silu,32,False,0.2,768.0,0.002,,L2,False,2,Adam,attention,1e-05,"[896, 896]",[],[],True
31,0.1761006289308176,PRUNED,2025-11-22 10:09:18.813936,2025-11-22 10:09:29.136774,0 days 00:00:10.322838,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[512],[],[],True
32,0.42607133729720353,COMPLETE,2025-11-22 10:09:29.138114,2025-11-22 10:10:32.061194,0 days 00:01:02.923080,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[640],[],[],True
33,0.21637426900584797,PRUNED,2025-11-22 10:10:32.064327,2025-11-22 10:11:17.902900,0 days 00:00:45.838573,tanh,32,False,0.0,768.0,2e-05,,L2,True,1,AdamW,last,5e-07,[768],[],[],True
34,0.42478326692182666,COMPLETE,2025-11-22 10:11:17.904914,2025-11-22 10:12:17.281788,0 days 00:00:59.376874,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[640],[],[],True
35,0.33236415325967567,PRUNED,2025-11-22 10:12:17.285098,2025-11-22 10:12:34.880162,0 days 00:00:17.595064,elu,32,False,0.5,1024.0,5e-05,,L2,True,2,AdamW,last,0.0,"[896, 896]",[],[],True
36,0.21839080459770113,PRUNED,2025-11-22 10:12:34.881174,2025-11-22 10:13:02.412218,0 days 00:00:27.531044,,32,True,0.0,,0.01,,L2,True,1,AdamW,last,2e-06,[768],[],[],True
37,0.21839080459770113,PRUNED,2025-11-22 10:13:02.413227,2025-11-22 10:13:06.191804,0 days 00:00:03.778577,tanh,48,False,0.0,768.0,5e-05,0.0,minmax,True,1,SGD,mean,5e-07,[192],[],[],True
38,0.21839080459770113,PRUNED,2025-11-22 10:13:06.192805,2025-11-22 10:13:23.098313,0 days 00:00:16.905508,silu,16,True,0.5,256.0,1e-05,,L2,True,2,RMSprop,last,0.0,"[384, 384]",[],[],True
