number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
20,0.178030303030303,2025-09-12 07:06:20.853397,2025-09-12 07:06:33.392324,0 days 00:00:12.538927,,uniform,64,False,0.30000000000000004,True,True,,,,,0.001,,L2,False,True,,,True,3,RMSprop,max,1.0,2e-06,0.178030303030303,,,,PRUNED
21,0.21640488656195464,2025-09-12 07:06:33.393325,2025-09-12 07:07:45.378013,0 days 00:01:11.984688,,decreasing,32,False,0.0,True,True,,,,5.0,1e-05,,L2,True,True,,,False,3,Adam,last,,0.0,0.21875,0.21640488656195464,,,PRUNED
22,0.35157004830917876,2025-09-12 07:07:45.379014,2025-09-12 07:08:53.347785,0 days 00:01:07.968771,,decreasing,32,False,0.0,True,True,True,,,5.0,1e-05,,L2,True,True,False,,False,4,Adam,last,,0.0,0.3350612275561566,0.3836459836459836,0.21875,0.35157004830917876,PRUNED
23,0.21640488656195464,2025-09-12 07:08:53.348785,2025-09-12 07:09:12.672780,0 days 00:00:19.323995,,decreasing,32,False,0.1,,,,,,3.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.39649115830218196,0.21875,0.21875,0.21640488656195464,PRUNED
24,0.3239285820235796,2025-09-12 07:09:12.673780,2025-09-12 07:10:33.977432,0 days 00:01:21.303652,,decreasing,128,False,0.2,True,True,False,,,6.0,1e-05,,L2,True,True,True,,False,4,Adam,last,,0.0,0.2786011249694302,0.21875,,,COMPLETE
25,0.21761658031088082,2025-09-12 07:10:33.979432,2025-09-12 07:10:50.369382,0 days 00:00:16.389950,,decreasing,96,False,0.1,True,True,True,True,,6.0,0.01,,L2,True,True,False,True,False,5,RMSprop,last,,0.0,0.21761658031088082,,,,PRUNED
26,0.21761658031088082,2025-09-12 07:10:50.370383,2025-09-12 07:11:05.228269,0 days 00:00:14.857886,elu,uniform,32,True,0.0,True,True,,,128.0,,1e-05,,minmax,True,True,,,False,3,Adam,max,2.0,1e-07,0.21761658031088082,,,,PRUNED
27,0.178030303030303,2025-09-12 07:11:05.229270,2025-09-12 07:11:26.105428,0 days 00:00:20.876158,leakyrelu,uniform,32,False,0.2,True,,,,256.0,,0.001,,L2,True,,,,False,2,AdamW,max,5.0,1e-05,0.178030303030303,,,,PRUNED
28,0.40898043863552075,2025-09-12 07:11:26.106428,2025-09-12 07:12:38.532181,0 days 00:01:12.425753,relu,increasing,32,False,0.1,True,True,,,64.0,1.0,0.0002,,L2,True,True,,,True,3,RMSprop,mean,,2e-06,0.21875,0.21875,0.3796207620413787,,COMPLETE
29,0.178030303030303,2025-09-12 07:12:38.534182,2025-09-12 07:12:50.121570,0 days 00:00:11.587388,,decreasing,32,False,0.0,,,,,,3.0,0.001,,L2,,,,,True,1,RMSprop,last,,1e-05,0.178030303030303,,,,PRUNED
30,0.40929940162245404,2025-09-12 07:12:50.122570,2025-09-12 07:13:18.601627,0 days 00:00:28.479057,tanh,uniform,96,False,0.2,True,False,False,,1024.0,,0.002,,L2,True,False,True,,False,4,Adam,max,0.0,1e-06,0.35734824484395084,0.21875,0.21875,0.36789016403182834,COMPLETE
31,0.1943191021636006,2025-09-12 07:13:18.603628,2025-09-12 07:13:45.236712,0 days 00:00:26.633084,,uniform,16,False,0.30000000000000004,False,,,,,,0.0001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.3759018759018759,0.38838116615894397,0.1943191021636006,,PRUNED
32,0.178030303030303,2025-09-12 07:13:45.237712,2025-09-12 07:14:24.118162,0 days 00:00:38.880450,elu,uniform,16,False,0.5,False,,,,512.0,,0.001,,minmax,True,,,,True,2,RMSprop,max,2.0,1e-05,0.21875,0.21875,0.178030303030303,,PRUNED
33,0.21640488656195464,2025-09-12 07:14:24.119162,2025-09-12 07:15:57.583930,0 days 00:01:33.464768,,decreasing,16,False,0.4,,,,,,9.0,0.001,,L2,,,,,True,1,RMSprop,max,,5e-07,0.21875,0.21640488656195464,,,PRUNED
34,0.21761658031088082,2025-09-12 07:15:57.583930,2025-09-12 07:16:16.552418,0 days 00:00:18.968488,gelu,uniform,16,True,0.1,False,True,,,768.0,,0.001,,minmax,True,True,,,True,3,Adam,mean,1.0,1e-05,0.21761658031088082,,,,PRUNED
35,0.178030303030303,2025-09-12 07:16:16.552418,2025-09-12 07:16:35.809482,0 days 00:00:19.257064,,uniform,128,False,0.4,False,True,,,,,1e-05,0.5,L2,True,True,,,True,3,SGD,last,3.0,1e-07,0.21875,0.21875,0.178030303030303,,PRUNED
36,0.21761658031088082,2025-09-12 07:16:35.810482,2025-09-12 07:16:41.693448,0 days 00:00:05.882966,relu,increasing,96,True,0.0,,,,,128.0,4.0,2e-05,,minmax,,,,,True,1,RMSprop,max,,1e-06,0.21761658031088082,,,,PRUNED
37,0.21640488656195464,2025-09-12 07:16:41.693448,2025-09-12 07:17:19.329743,0 days 00:00:37.636295,silu,uniform,16,False,0.2,False,,,,64.0,,0.0001,,L2,False,,,,True,2,AdamW,last,1.0,2e-07,0.42570141211445556,0.4124440351011846,0.21875,0.21640488656195464,PRUNED
38,0.21761658031088082,2025-09-12 07:17:19.330744,2025-09-12 07:17:44.020686,0 days 00:00:24.689942,tanh,decreasing,64,False,0.30000000000000004,False,False,False,True,768.0,8.0,5e-05,0.5,L2,True,False,True,True,False,5,SGD,mean,,5e-07,0.21761658031088082,,,,PRUNED
39,0.21759048895761182,2025-09-12 07:17:44.021722,2025-09-12 07:18:12.552559,0 days 00:00:28.530837,elu,increasing,128,True,0.5,False,,,,512.0,2.0,0.001,,minmax,False,,,,True,2,Adam,max,,0.0,0.21875,0.21875,0.21640488656195464,,COMPLETE
40,0.42480932705746827,2025-09-12 07:18:12.552559,2025-09-12 07:19:50.708692,0 days 00:01:38.156133,,uniform,16,False,0.1,True,True,,,,,0.01,,L2,True,True,,,False,3,AdamW,max,0.0,1e-05,0.21875,0.3770029020355142,,,COMPLETE
41,0.46538959319954326,2025-09-12 07:19:50.708692,2025-09-12 07:21:20.475132,0 days 00:01:29.766440,,uniform,16,False,0.1,True,True,,,,,0.01,,L2,True,True,,,False,3,AdamW,max,0.0,1e-05,0.21875,0.21875,0.41899251986909775,,COMPLETE
42,0.178030303030303,2025-09-12 07:21:20.490757,2025-09-12 07:21:49.347263,0 days 00:00:28.856506,,uniform,16,False,0.1,True,True,,,,,0.01,,L2,True,True,,,False,3,AdamW,max,0.0,1e-05,0.34699757028809436,0.178030303030303,,,PRUNED
43,0.21640488656195464,2025-09-12 07:21:49.348264,2025-09-12 07:22:47.865040,0 days 00:00:58.516776,,uniform,16,False,0.1,True,True,,,,,0.01,,L2,True,True,,,False,3,AdamW,max,0.0,1e-05,0.21875,0.21640488656195464,,,PRUNED
44,0.178030303030303,2025-09-12 07:22:47.865040,2025-09-12 07:23:32.568114,0 days 00:00:44.703074,,uniform,16,False,0.0,True,True,,,,,0.01,,L2,True,True,,,False,3,AdamW,max,2.0,1e-05,0.21761658031088082,0.21875,0.21875,0.178030303030303,PRUNED
45,0.178030303030303,2025-09-12 07:23:32.568114,2025-09-12 07:24:02.855134,0 days 00:00:30.287020,,uniform,16,False,0.1,True,True,,,,,0.01,,L2,True,True,,,False,3,AdamW,max,0.0,1e-05,0.178030303030303,,,,PRUNED
46,0.178030303030303,2025-09-12 07:24:02.857134,2025-09-12 07:24:41.099331,0 days 00:00:38.242197,,uniform,32,False,0.2,True,True,True,,,,0.01,,L2,True,True,False,,False,4,AdamW,max,1.0,2e-07,0.21875,0.178030303030303,,,PRUNED
47,0.21759048895761182,2025-09-12 07:24:41.099331,2025-09-12 07:25:13.786916,0 days 00:00:32.687585,gelu,uniform,64,False,0.1,True,True,False,False,1024.0,,0.01,,L2,False,True,True,False,False,5,AdamW,mean,0.0,1e-05,0.21875,0.21875,0.21640488656195464,,COMPLETE
48,0.3906306205338101,2025-09-12 07:25:13.786916,2025-09-12 07:26:13.177418,0 days 00:00:59.390502,,uniform,32,True,0.0,True,True,,,,,0.0002,,L2,True,True,,,False,3,AdamW,max,2.0,2e-06,0.3413848631239936,0.21875,0.21875,0.21640488656195464,COMPLETE
49,0.21759048895761182,2025-09-12 07:26:13.177418,2025-09-12 07:28:51.458806,0 days 00:02:38.281388,leakyrelu,increasing,16,False,0.2,True,True,False,,256.0,4.0,0.01,,L2,True,True,True,,False,4,AdamW,max,,1e-07,0.21875,0.21640488656195464,,,COMPLETE
