number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
20,0.1734045258072718,2025-09-12 07:58:15.499202,2025-09-12 07:58:31.967678,0 days 00:00:16.468476,elu,uniform,16,False,0.0,True,True,,,256.0,,0.002,,L2,True,True,,,False,3,RMSprop,max,2.0,0.0,0.1734045258072718,,,,PRUNED
21,0.2175904889576118,2025-09-12 07:58:31.968678,2025-09-12 07:59:41.440150,0 days 00:01:09.471472,tanh,uniform,16,False,0.5,False,True,,,1024.0,,1e-05,,L2,True,True,,,True,3,RMSprop,max,0.0,1e-07,0.21875,0.2164048865619546,,,COMPLETE
22,0.178030303030303,2025-09-12 07:59:41.442151,2025-09-12 08:00:07.414702,0 days 00:00:25.972551,,uniform,16,False,0.4,False,True,,,,,0.01,,L2,True,True,,,True,3,RMSprop,max,1.0,2e-06,0.178030303030303,,,,PRUNED
23,0.4183983173433132,2025-09-12 08:00:07.415702,2025-09-12 08:02:18.244227,0 days 00:02:10.828525,,uniform,16,False,0.5,False,True,False,,,,0.0002,,L2,True,True,False,,True,4,RMSprop,max,1.0,1e-05,0.21875,0.3663377984545867,,,COMPLETE
24,0.2164048865619546,2025-09-12 08:02:18.246228,2025-09-12 08:03:43.952245,0 days 00:01:25.706017,leakyrelu,uniform,16,False,0.3,False,True,False,,1024.0,,0.0002,,L2,True,True,False,,True,4,Adam,max,2.0,0.0,0.3584576172811466,0.3671304589381319,0.21875,0.2164048865619546,PRUNED
25,0.2176165803108808,2025-09-12 08:03:43.953245,2025-09-12 08:03:55.549761,0 days 00:00:11.596516,,decreasing,96,False,0.5,False,True,False,,,5.0,0.0002,,L2,False,True,False,,True,4,RMSprop,max,,0.0,0.2176165803108808,,,,PRUNED
26,0.21875,2025-09-12 08:03:55.550761,2025-09-12 08:04:23.734924,0 days 00:00:28.184163,leakyrelu,uniform,32,True,0.4,True,True,False,True,64.0,,2e-05,,minmax,True,True,False,True,True,5,RMSprop,max,0.0,1e-05,0.2176165803108808,0.21875,,,PRUNED
27,0.21875,2025-09-12 08:04:23.735925,2025-09-12 08:04:33.482614,0 days 00:00:09.746689,relu,uniform,128,False,0.5,False,True,True,,128.0,,5e-05,,L2,True,True,False,,True,4,RMSprop,max,1.0,0.0,0.2176165803108808,0.21875,,,PRUNED
28,0.3900228338618209,2025-09-12 08:04:33.483615,2025-09-12 08:06:52.769352,0 days 00:02:19.285737,tanh,uniform,16,False,0.4,False,True,,,512.0,,0.0002,,L2,True,True,,,False,3,RMSprop,mean,4.0,1e-07,0.3155746070626659,0.21875,0.21875,0.3732843780050703,COMPLETE
29,0.3547236967433216,2025-09-12 08:06:52.771353,2025-09-12 08:09:22.581349,0 days 00:02:29.809996,tanh,uniform,16,False,0.3,True,True,,,512.0,,0.0002,,L2,False,True,,,False,3,RMSprop,mean,4.0,1e-07,0.21875,0.21875,0.2337221808554645,,COMPLETE
30,0.2164048865619546,2025-09-12 08:09:22.583350,2025-09-12 08:14:17.296827,0 days 00:04:54.713477,tanh,decreasing,16,False,0.4,False,True,,,512.0,9.0,0.0002,,L2,True,True,,,False,3,RMSprop,mean,,1e-07,0.2213193386377744,0.3468400677703003,0.21875,0.2164048865619546,PRUNED
31,0.178030303030303,2025-09-12 08:14:17.298829,2025-09-12 08:15:15.271029,0 days 00:00:57.972200,tanh,uniform,16,False,0.5,False,True,,,512.0,,0.0002,,L2,True,True,,,False,3,RMSprop,mean,6.0,1e-07,0.2656291824735321,0.178030303030303,,,PRUNED
32,0.178030303030303,2025-09-12 08:15:15.272029,2025-09-12 08:15:52.936226,0 days 00:00:37.664197,,uniform,16,False,0.4,False,True,False,,,,0.002,,L2,True,True,True,,False,4,RMSprop,mean,3.0,1e-05,0.178030303030303,,,,PRUNED
33,0.3783491197922646,2025-09-12 08:15:52.937226,2025-09-12 08:17:20.227403,0 days 00:01:27.290177,elu,uniform,16,False,0.5,False,True,,,512.0,,0.0001,,L2,True,True,,,False,3,Adam,last,1.0,5e-07,0.3244837758112094,0.21875,0.21875,0.2164048865619546,COMPLETE
34,0.2176165803108808,2025-09-12 08:17:20.229406,2025-09-12 08:17:27.467354,0 days 00:00:07.237948,elu,uniform,96,False,0.4,False,True,,,512.0,,0.0001,,minmax,True,True,,,False,3,Adam,last,3.0,5e-07,0.2176165803108808,,,,PRUNED
35,0.429683500992756,2025-09-12 08:17:27.468354,2025-09-12 08:19:53.571195,0 days 00:02:26.102841,elu,decreasing,16,True,0.4,False,True,,,512.0,3.0,0.0001,,L2,True,True,,,False,3,Adam,last,,5e-07,0.21875,0.3732501273828472,,,COMPLETE
36,0.2176165803108808,2025-09-12 08:19:53.573195,2025-09-12 08:20:03.154290,0 days 00:00:09.581095,elu,decreasing,128,True,0.3,False,False,,,512.0,3.0,0.0001,,minmax,True,False,,,False,3,Adam,last,,5e-07,0.2176165803108808,,,,PRUNED
37,0.0855855855855855,2025-09-12 08:20:03.155290,2025-09-12 08:20:12.794600,0 days 00:00:09.639310,gelu,decreasing,96,True,0.4,False,,,,256.0,1.0,1e-05,,L2,False,,,,False,2,Adam,last,,1e-06,0.0855855855855855,,,,PRUNED
38,0.2164048865619546,2025-09-12 08:20:12.795600,2025-09-12 08:21:47.699951,0 days 00:01:34.904351,tanh,decreasing,16,True,0.3,True,True,,,768.0,4.0,0.0002,,minmax,True,True,,,False,3,Adam,last,,5e-07,0.21875,0.2164048865619546,,,PRUNED
39,0.0894854586129754,2025-09-12 08:21:47.700951,2025-09-12 08:24:58.927386,0 days 00:03:11.226435,silu,decreasing,16,True,0.4,False,True,False,False,128.0,6.0,0.0001,0.5,L2,False,True,False,False,False,5,SGD,mean,,1e-06,0.2176165803108808,0.21875,0.21875,0.0894854586129754,PRUNED
40,0.2175904889576118,2025-09-12 08:24:58.928387,2025-09-12 08:25:42.745296,0 days 00:00:43.816909,elu,decreasing,128,True,0.2,False,True,,,64.0,3.0,2e-05,,L2,True,False,,,False,3,Adam,last,,1e-07,0.2176165803108808,0.21875,0.21875,0.2932209343168247,COMPLETE
41,0.4223814643673045,2025-09-12 08:25:42.747296,2025-09-12 08:27:57.750036,0 days 00:02:15.002740,elu,uniform,16,True,0.5,False,True,,,512.0,,0.0001,,L2,True,True,,,False,3,Adam,last,1.0,5e-07,0.3452832021762362,0.3890082376937959,0.21875,0.2164048865619546,COMPLETE
42,0.4182598763521725,2025-09-12 08:27:57.753037,2025-09-12 08:31:56.425862,0 days 00:03:58.672825,elu,uniform,16,True,0.5,False,True,,,512.0,,0.0001,,L2,True,True,,,False,3,Adam,last,5.0,5e-07,0.4904401752612066,0.21875,0.21875,0.2164048865619546,COMPLETE
43,0.4296812583407206,2025-09-12 08:31:56.427863,2025-09-12 08:33:14.535904,0 days 00:01:18.108041,elu,increasing,16,True,0.5,False,,,,512.0,0.0,0.0001,,L2,True,,,,False,2,Adam,last,,5e-07,0.3864999445603637,0.21875,0.21875,0.2164048865619546,COMPLETE
44,0.3999111878898702,2025-09-12 08:33:14.536905,2025-09-12 08:34:42.516047,0 days 00:01:27.979142,elu,increasing,16,True,0.5,False,,,,512.0,1.0,0.0001,,L2,True,,,,False,2,Adam,last,,5e-07,0.21875,0.21875,0.2164048865619546,,COMPLETE
45,0.4254971872236096,2025-09-12 08:34:42.518048,2025-09-12 08:35:42.335385,0 days 00:00:59.817337,elu,increasing,32,True,0.5,False,,,,512.0,0.0,0.0001,,L2,True,,,,False,2,Adam,last,,5e-07,0.4236024844720497,0.21875,0.3610136452241715,,COMPLETE
46,0.3430927054318867,2025-09-12 08:35:42.337385,2025-09-12 08:36:26.666910,0 days 00:00:44.329525,elu,increasing,32,True,0.5,False,,,,512.0,0.0,0.0001,,minmax,True,,,,False,2,Adam,last,,5e-07,0.21875,0.21875,0.2164048865619546,,COMPLETE
47,0.2176165803108808,2025-09-12 08:36:26.668911,2025-09-12 08:36:32.796199,0 days 00:00:06.127288,elu,increasing,32,True,0.5,,,,,768.0,1.0,0.0001,,L2,,,,,False,1,Adam,last,,5e-07,0.2176165803108808,,,,PRUNED
48,0.178030303030303,2025-09-12 08:36:32.797199,2025-09-12 08:36:47.504126,0 days 00:00:14.706927,elu,increasing,32,True,0.5,,,,,512.0,2.0,0.0001,,L2,,,,,False,1,Adam,last,,2e-07,0.178030303030303,,,,PRUNED
49,0.3116229430930163,2025-09-12 08:36:47.505126,2025-09-12 08:37:39.479837,0 days 00:00:51.974711,elu,increasing,32,True,0.5,False,,,,512.0,0.0,0.0001,,L2,False,,,,False,2,Adam,last,,5e-07,0.21875,0.3324380360003769,,,COMPLETE
