number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
25,0.44096945493276307,COMPLETE,2025-11-22 13:41:19.545426,2025-11-22 13:43:08.841548,0 days 00:01:49.296122,tanh,96,False,0.4,1024.0,0.0001,,L2,False,2,AdamW,last,2e-06,"[768, 768]",[],[],True
26,0.3901382642012327,PRUNED,2025-11-22 13:43:08.841548,2025-11-22 13:45:37.382608,0 days 00:02:28.541060,tanh,64,True,0.2,1024.0,0.0001,,L2,False,3,AdamW,last,5e-07,"[768, 768, 768]",[],[],True
27,0.17777777777777778,PRUNED,2025-11-22 13:45:37.384609,2025-11-22 13:46:22.697705,0 days 00:00:45.313096,leakyrelu,128,False,0.1,1024.0,0.0001,,L2,False,2,AdamW,max,2e-07,"[896, 896]",[],[],True
28,0.21839080459770113,PRUNED,2025-11-22 13:46:22.699211,2025-11-22 13:46:40.146741,0 days 00:00:17.447530,gelu,48,False,0.5,1024.0,0.0001,,minmax,False,2,Adam,mean,1e-06,"[256, 192]","[2, 3]","[2, 3]",False
29,0.21839080459770113,PRUNED,2025-11-22 13:46:40.147741,2025-11-22 13:47:22.799904,0 days 00:00:42.652163,relu,16,False,0.5,512.0,0.0001,,minmax,False,2,RMSprop,attention,1e-05,"[192, 256]","[2, 3]","[2, 3]",False
30,0.21839080459770113,PRUNED,2025-11-22 13:47:22.800911,2025-11-22 13:48:03.031813,0 days 00:00:40.230902,silu,32,False,0.0,256.0,0.0002,,L2,False,3,AdamW,last,1e-07,"[896, 896, 896]",[],[],True
31,0.42579648889953026,COMPLETE,2025-11-22 13:48:03.033606,2025-11-22 13:50:01.387559,0 days 00:01:58.353953,tanh,96,False,0.4,1024.0,0.0001,,L2,False,2,AdamW,last,2e-06,"[768, 768]",[],[],True
32,0.3912850234922394,COMPLETE,2025-11-22 13:50:01.391079,2025-11-22 13:51:48.519128,0 days 00:01:47.128049,tanh,96,False,0.4,1024.0,0.0001,,L2,False,2,AdamW,last,2e-06,"[640, 640]",[],[],True
33,0.21758419036095988,COMPLETE,2025-11-22 13:51:48.523146,2025-11-22 13:54:27.143683,0 days 00:02:38.620537,tanh,96,False,0.30000000000000004,1024.0,2e-05,,L2,False,4,AdamW,last,2e-06,"[768, 768, 768, 768]",[],[],True
34,0.27777777777777773,PRUNED,2025-11-22 13:54:27.146684,2025-11-22 13:55:17.543670,0 days 00:00:50.396986,,96,False,0.5,,0.0001,,L2,False,2,AdamW,last,2e-06,"[1024, 1024]",[],[],True
