number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
25,0.5065334252544309,COMPLETE,2025-11-22 18:24:38.417532,2025-11-22 18:27:04.109850,0 days 00:02:25.692318,tanh,48,False,0.0,1024.0,0.0001,,minmax,False,1,AdamW,last,1e-06,[192],[],[],True
26,0.46105982789623534,COMPLETE,2025-11-22 18:27:04.113212,2025-11-22 18:29:31.068549,0 days 00:02:26.955337,tanh,64,True,0.30000000000000004,256.0,0.0002,,L2,False,2,AdamW,last,1e-06,"[128, 128]",[],[],True
27,0.21839080459770113,PRUNED,2025-11-22 18:29:31.071052,2025-11-22 18:29:49.057288,0 days 00:00:17.986236,elu,96,False,0.0,512.0,0.0002,,minmax,False,1,AdamW,mean,1e-06,[192],[],[],True
28,0.08239700374531835,PRUNED,2025-11-22 18:29:49.058294,2025-11-22 18:30:22.810014,0 days 00:00:33.751720,relu,128,False,0.4,128.0,0.0001,,minmax,False,3,AdamW,max,1e-06,"[256, 384, 448]",[3],[3],False
29,0.21839080459770113,PRUNED,2025-11-22 18:30:22.811015,2025-11-22 18:30:48.679109,0 days 00:00:25.868094,,16,False,0.0,,0.0002,,minmax,True,1,AdamW,attention,1e-05,[1024],[],[],True
30,0.21839080459770113,PRUNED,2025-11-22 18:30:48.680114,2025-11-22 18:31:00.549403,0 days 00:00:11.869289,leakyrelu,48,False,0.2,1024.0,2e-05,,minmax,False,2,AdamW,last,1e-06,"[256, 256]",[],[],True
31,0.4627810597681646,COMPLETE,2025-11-22 18:31:00.550905,2025-11-22 18:33:24.523035,0 days 00:02:23.972130,tanh,48,False,0.0,1024.0,0.0001,,minmax,False,1,Adam,last,1e-06,[64],[],[],True
32,0.4441238709214931,COMPLETE,2025-11-22 18:33:24.527089,2025-11-22 18:35:22.485149,0 days 00:01:57.958060,tanh,48,False,0.0,1024.0,0.0001,,minmax,False,1,AdamW,last,1e-07,[896],[],[],True
33,0.4651930234520313,COMPLETE,2025-11-22 18:35:22.488158,2025-11-22 18:36:51.204977,0 days 00:01:28.716819,tanh,48,False,0.0,1024.0,0.0001,,minmax,False,1,AdamW,last,5e-07,[512],[],[],True
34,0.21758419036095988,COMPLETE,2025-11-22 18:36:51.206982,2025-11-22 18:39:47.198982,0 days 00:02:55.992000,silu,48,False,0.2,1024.0,0.0001,,minmax,True,4,RMSprop,last,2e-07,"[768, 768, 768, 768]",[],[],True
35,0.46507667707911776,COMPLETE,2025-11-22 18:39:47.201990,2025-11-22 18:42:53.738961,0 days 00:03:06.536971,gelu,48,False,0.0,1024.0,5e-05,,minmax,False,1,AdamW,last,2e-06,[1024],[],[],True
36,0.1761006289308176,PRUNED,2025-11-22 18:42:53.740964,2025-11-22 18:43:09.973524,0 days 00:00:16.232560,tanh,32,False,0.0,1024.0,0.01,,L2,True,1,AdamW,last,1e-05,[640],[],[],True
37,0.21758419036095988,COMPLETE,2025-11-22 18:43:09.973524,2025-11-22 18:45:50.923578,0 days 00:02:40.950054,,48,True,0.0,,0.002,,minmax,False,2,Adam,last,0.0,"[640, 512]","[1, 2, 3]","[1, 2, 3]",False
38,0.21839080459770113,PRUNED,2025-11-22 18:45:50.925578,2025-11-22 18:46:21.473412,0 days 00:00:30.547834,silu,32,False,0.0,768.0,1e-05,0.0,L2,True,1,SGD,mean,1e-07,[192],[],[],True
39,0.21839080459770113,PRUNED,2025-11-22 18:46:21.475415,2025-11-22 18:46:50.426200,0 days 00:00:28.950785,tanh,16,True,0.0,1024.0,0.001,,minmax,False,1,RMSprop,attention,2e-06,[896],[],[],True
40,0.21839080459770113,PRUNED,2025-11-22 18:46:50.426200,2025-11-22 18:47:09.286190,0 days 00:00:18.859990,tanh,48,False,0.5,256.0,2e-05,,minmax,False,2,AdamW,last,1e-06,"[448, 448]",[],[],True
41,0.43998227254186945,COMPLETE,2025-11-22 18:47:09.286190,2025-11-22 18:49:08.488377,0 days 00:01:59.202187,tanh,48,False,0.0,1024.0,0.0002,,minmax,False,1,AdamW,last,1e-06,[1024],[],[],True
42,0.21839080459770113,PRUNED,2025-11-22 18:49:08.493655,2025-11-22 18:49:40.615497,0 days 00:00:32.121842,tanh,48,False,0.0,1024.0,0.0002,,minmax,False,1,AdamW,last,1e-06,[1024],[],[],True
43,0.4396462324749127,COMPLETE,2025-11-22 18:49:40.616710,2025-11-22 18:51:39.353943,0 days 00:01:58.737233,tanh,48,False,0.0,1024.0,0.0002,,minmax,False,1,AdamW,last,1e-06,[896],[],[],True
44,0.08888888888888889,PRUNED,2025-11-22 18:51:39.363956,2025-11-22 18:51:53.347854,0 days 00:00:13.983898,gelu,48,False,0.0,768.0,5e-05,0.30000000000000004,minmax,False,1,SGD,last,1e-06,[512],[],[],True
45,0.21839080459770113,PRUNED,2025-11-22 18:51:53.347854,2025-11-22 18:52:15.283029,0 days 00:00:21.935175,tanh,64,False,0.0,1024.0,0.0002,,minmax,False,1,AdamW,max,0.0,[768],[],[],True
46,0.1761006289308176,PRUNED,2025-11-22 18:52:15.284029,2025-11-22 18:52:31.683907,0 days 00:00:16.399878,,96,False,0.0,,0.0002,,L2,True,1,AdamW,attention,2e-07,[192],[],[],True
47,0.21839080459770113,PRUNED,2025-11-22 18:52:31.684907,2025-11-22 18:53:19.346297,0 days 00:00:47.661390,tanh,128,True,0.0,512.0,0.001,,minmax,False,4,Adam,last,1e-06,"[1024, 1024, 1024, 1024]",[],[],True
48,0.21758419036095988,COMPLETE,2025-11-22 18:53:19.346297,2025-11-22 18:55:53.097054,0 days 00:02:33.750757,relu,32,False,0.1,128.0,0.0001,,minmax,False,2,AdamW,mean,5e-07,"[768, 640]","[1, 2, 3]","[2, 3]",False
49,0.21758419036095988,COMPLETE,2025-11-22 18:55:53.101006,2025-11-22 18:59:03.716796,0 days 00:03:10.615790,leakyrelu,48,False,0.2,1024.0,0.01,0.4,minmax,False,3,SGD,last,1e-07,"[896, 896, 896]",[],[],True
