number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum_sgd,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
10,0.3016879934859722,2025-09-12 10:09:31.558941,2025-09-12 10:09:46.268199,0 days 00:00:14.709258,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.2176165803108808,0.21875,0.21875,0.259116809116809,,COMPLETE
11,0.178030303030303,2025-09-12 10:09:46.270197,2025-09-12 10:09:55.471287,0 days 00:00:09.201090,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.178030303030303,,,,,PRUNED
12,0.0855855855855855,2025-09-12 10:09:55.473288,2025-09-12 10:10:01.251588,0 days 00:00:05.778300,elu,uniform,32,False,0.1,,,,,256.0,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.0855855855855855,,,,,PRUNED
13,0.0894854586129754,2025-09-12 10:10:01.252589,2025-09-12 10:10:15.709277,0 days 00:00:14.456688,,uniform,32,False,0.3,False,,,,,,0.01,,L2,True,,,,False,2,RMSprop,max,3.0,1e-05,0.21875,0.0894854586129754,,,,PRUNED
14,0.178030303030303,2025-09-12 10:10:15.710276,2025-09-12 10:10:27.077954,0 days 00:00:11.367678,,uniform,32,False,0.1,True,True,False,,,,0.001,,L2,True,True,True,,True,4,RMSprop,max,2.0,1e-07,0.178030303030303,,,,,PRUNED
15,0.3961751252325667,2025-09-12 10:10:27.078953,2025-09-12 10:11:09.962397,0 days 00:00:42.883444,,uniform,16,False,0.3,,,,,,,0.002,,L2,,,,,False,1,RMSprop,max,5.0,0.0,0.21875,0.3440641834471235,,,,COMPLETE
16,0.2554870507155369,2025-09-12 10:11:09.964398,2025-09-12 10:11:57.791367,0 days 00:00:47.826969,leakyrelu,decreasing,16,False,0.5,False,,,,256.0,5.0,0.002,,L2,True,,,,True,2,RMSprop,max,,0.0,0.21875,0.2164048865619546,,,,COMPLETE
17,0.178030303030303,2025-09-12 10:11:57.793368,2025-09-12 10:12:17.501276,0 days 00:00:19.707908,gelu,uniform,16,False,0.3,False,True,,,1024.0,,0.002,,L2,True,True,,,False,3,RMSprop,max,5.0,0.0,0.178030303030303,,,,,PRUNED
18,0.178030303030303,2025-09-12 10:12:17.502276,2025-09-12 10:13:15.601167,0 days 00:00:58.098891,tanh,uniform,16,False,0.4,True,True,False,,512.0,,2e-05,,L2,False,True,True,,True,4,RMSprop,max,6.0,0.0,0.2176165803108808,0.21875,0.21875,0.178030303030303,,PRUNED
19,0.0894854586129754,2025-09-12 10:13:15.602168,2025-09-12 10:13:28.889664,0 days 00:00:13.287496,,decreasing,16,False,0.5,,,,,,0.0,5e-05,,L2,,,,,False,1,Adam,last,,2e-06,0.3822101656196459,0.0894854586129754,,,,PRUNED
