number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
19,0.178030303030303,2025-09-12 09:51:47.969906,2025-09-12 09:53:32.954238,0 days 00:01:44.984332,elu,decreasing,64,True,0.30000000000000004,True,True,,,512.0,9.0,5e-05,,L2,True,False,,,True,3,Adam,last,,1e-05,0.21875,0.178030303030303,,,,PRUNED
20,0.21759048895761182,2025-09-12 09:53:32.955238,2025-09-12 09:53:53.683016,0 days 00:00:20.727778,,uniform,96,False,0.4,True,True,,,,,1e-05,,L2,True,False,,,True,3,Adam,mean,5.0,1e-05,0.21875,0.21640488656195464,,,,COMPLETE
21,0.21759048895761182,2025-09-12 09:53:53.685017,2025-09-12 09:54:19.385575,0 days 00:00:25.700558,leakyrelu,uniform,32,True,0.4,True,,,,1024.0,,0.001,,L2,True,,,,True,2,RMSprop,mean,2.0,0.0,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,COMPLETE
22,0.21640488656195464,2025-09-12 09:54:19.386575,2025-09-12 09:54:34.280469,0 days 00:00:14.893894,leakyrelu,uniform,32,True,0.5,False,,,,512.0,,0.001,0.6000000000000001,L2,True,,,,True,2,SGD,mean,0.0,2e-06,0.21875,0.21875,0.21640488656195464,,,PRUNED
23,0.21640488656195464,2025-09-12 09:54:34.281469,2025-09-12 09:54:47.620491,0 days 00:00:13.339022,leakyrelu,uniform,32,True,0.4,,,,,512.0,,0.001,,L2,,,,,True,1,Adam,mean,2.0,1e-07,0.35204142262965793,0.21875,0.21640488656195464,,,PRUNED
24,0.178030303030303,2025-09-12 09:54:47.621491,2025-09-12 09:54:55.929361,0 days 00:00:08.307870,leakyrelu,uniform,32,True,0.2,False,,,,1024.0,,0.01,,L2,True,,,,True,2,RMSprop,mean,1.0,0.0,0.21761658031088082,0.178030303030303,,,,PRUNED
25,0.34317012588153956,2025-09-12 09:54:55.930361,2025-09-12 09:55:46.080549,0 days 00:00:50.150188,,uniform,128,True,0.30000000000000004,True,True,,,,,2e-05,,L2,True,False,,,True,3,Adam,max,4.0,1e-05,0.21875,0.21875,,,,COMPLETE
26,0.21640488656195464,2025-09-12 09:55:46.081549,2025-09-12 09:56:12.132041,0 days 00:00:26.050492,leakyrelu,uniform,32,True,0.5,False,True,False,,256.0,,0.001,0.30000000000000004,minmax,False,True,True,,False,4,SGD,mean,1.0,1e-05,0.21875,0.21875,0.21640488656195464,,,PRUNED
27,0.21759048895761182,2025-09-12 09:56:12.133041,2025-09-12 09:56:40.683064,0 days 00:00:28.550023,leakyrelu,uniform,32,True,0.4,True,,,,64.0,,0.001,,L2,True,,,,True,2,AdamW,mean,3.0,0.0,0.21761658031088082,0.21875,0.21875,0.23143274853801168,,COMPLETE
28,0.402231023158714,2025-09-12 09:56:40.685065,2025-09-12 09:57:05.716106,0 days 00:00:25.031041,gelu,decreasing,16,False,0.1,,,,,128.0,0.0,0.001,,L2,,,,,True,1,Adam,last,,1e-05,0.21875,0.21875,0.3722588522588523,,,COMPLETE
29,0.21759048895761182,2025-09-12 09:57:05.718106,2025-09-12 09:57:26.497890,0 days 00:00:20.779784,gelu,decreasing,16,False,0.0,,,,,128.0,0.0,0.0001,,minmax,,,,,False,1,Adam,last,,1e-05,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,COMPLETE
