number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
20,0.21759048895761182,2025-09-11 17:47:00.798414,2025-09-11 17:47:16.851806,0 days 00:00:16.053392,,increasing,128,False,0.30000000000000004,False,True,False,,,2.0,0.01,,L2,True,True,False,,False,4,AdamW,max,,2e-07,0.20058944886531094,0.178030303030303,,,,COMPLETE
21,0.31496672341742765,2025-09-11 17:47:16.852806,2025-09-11 17:47:39.009383,0 days 00:00:22.156577,gelu,uniform,16,False,0.0,False,,,,256.0,,0.0002,,L2,True,,,,False,2,RMSprop,max,8.0,1e-07,0.3088731309590205,0.29358420205102126,0.31496672341742765,,,PRUNED
22,0.21875,2025-09-11 17:47:39.010383,2025-09-11 17:47:54.729924,0 days 00:00:15.719541,gelu,uniform,16,False,0.0,False,,,,256.0,,0.0002,,L2,True,,,,False,2,RMSprop,max,6.0,1e-07,0.3258976571314794,0.21875,,,,PRUNED
23,0.178030303030303,2025-09-11 17:47:54.730924,2025-09-11 17:49:09.224713,0 days 00:01:14.493789,elu,uniform,16,False,0.1,False,,,,256.0,,0.0002,,L2,True,,,,False,2,RMSprop,max,9.0,1e-07,0.2705064832724407,0.31173807035876,0.3484667211285916,0.21875,0.178030303030303,PRUNED
24,0.3793034892891523,2025-09-11 17:49:09.225696,2025-09-11 17:50:11.850519,0 days 00:01:02.624823,gelu,uniform,16,False,0.2,False,True,,,256.0,,0.001,,L2,True,False,,,False,3,RMSprop,max,4.0,1e-05,0.21761658031088082,0.3073415412676699,0.34477514248942825,0.21875,0.21640488656195464,COMPLETE
25,0.21761658031088082,2025-09-11 17:50:11.852519,2025-09-11 17:50:14.884953,0 days 00:00:03.032434,,uniform,64,False,0.2,True,True,,,,,0.001,,L2,True,False,,,False,3,RMSprop,max,3.0,1e-05,0.21761658031088082,0.21761658031088082,,,,PRUNED
26,0.21761658031088082,2025-09-11 17:50:14.885954,2025-09-11 17:50:25.216541,0 days 00:00:10.330587,gelu,uniform,16,True,0.2,False,True,False,,64.0,,0.001,,minmax,False,False,False,,True,4,AdamW,max,3.0,1e-05,0.21761658031088082,,,,,PRUNED
27,0.32639689465466165,2025-09-11 17:50:25.217541,2025-09-11 17:50:41.688100,0 days 00:00:16.470559,leakyrelu,uniform,16,False,0.30000000000000004,True,True,,,128.0,,0.001,,L2,True,False,,,False,3,Adam,max,4.0,1e-05,0.21761658031088082,0.3491841491841492,0.32639689465466165,,,PRUNED
28,0.08888888888888889,2025-09-11 17:50:41.689100,2025-09-11 17:50:52.786353,0 days 00:00:11.097253,elu,decreasing,64,False,0.1,False,True,,,1024.0,11.0,0.001,,L2,True,False,,,True,3,RMSprop,mean,,1e-05,0.21761658031088082,0.08888888888888889,,,,PRUNED
29,0.17702448210922786,2025-09-11 17:50:52.787354,2025-09-11 17:50:54.258254,0 days 00:00:01.470900,relu,increasing,96,False,0.2,,,,,512.0,6.0,0.0001,0.5,minmax,,,,,False,1,SGD,last,,2e-07,0.17702448210922786,,,,,PRUNED
30,0.17702448210922786,2025-09-11 17:50:54.259255,2025-09-11 17:50:57.587007,0 days 00:00:03.327752,tanh,decreasing,32,False,0.1,False,,,,768.0,10.0,0.001,,L2,True,,,,False,2,AdamW,last,,0.0,0.17702448210922786,,,,,PRUNED
31,0.21875,2025-09-11 17:50:57.588007,2025-09-11 17:51:17.866318,0 days 00:00:20.278311,gelu,uniform,16,False,0.0,False,,,,256.0,,0.0002,,L2,True,,,,False,2,RMSprop,max,7.0,1e-07,0.3235867446393762,0.21875,,,,PRUNED
32,0.2471061723118567,2025-09-11 17:51:17.867319,2025-09-11 17:51:23.691818,0 days 00:00:05.824499,gelu,uniform,16,False,0.4,False,True,,,256.0,,0.001,,L2,True,False,,,False,3,RMSprop,max,1.0,5e-07,0.2471061723118567,,,,,PRUNED
33,0.32333965844402274,2025-09-11 17:51:23.692818,2025-09-11 17:52:14.316618,0 days 00:00:50.623800,gelu,uniform,16,False,0.2,False,,,,256.0,,1e-05,,L2,True,,,,False,2,RMSprop,max,11.0,1e-06,0.32333965844402274,,,,,PRUNED
34,0.21875,2025-09-11 17:52:14.318619,2025-09-11 17:52:25.140086,0 days 00:00:10.821467,gelu,uniform,16,True,0.1,,,,,256.0,,0.0002,,minmax,,,,,False,1,Adam,mean,6.0,2e-06,0.21875,,,,,PRUNED
35,0.21761658031088082,2025-09-11 17:52:25.141087,2025-09-11 17:52:27.296361,0 days 00:00:02.155274,gelu,uniform,128,False,0.30000000000000004,False,,,,128.0,,2e-05,,L2,True,,,,True,2,RMSprop,max,2.0,2e-07,0.21761658031088082,0.21761658031088082,,,,PRUNED
36,0.21761658031088082,2025-09-11 17:52:27.297362,2025-09-11 17:52:43.909376,0 days 00:00:16.612014,gelu,increasing,96,True,0.0,False,False,,,64.0,8.0,0.0001,,minmax,False,True,,,True,3,RMSprop,max,,1e-06,0.21761658031088082,0.21761658031088082,,,,PRUNED
37,0.21875,2025-09-11 17:52:43.910376,2025-09-11 17:52:50.365841,0 days 00:00:06.455465,gelu,uniform,16,False,0.4,,,,,768.0,,0.01,0.5,L2,,,,,False,1,SGD,last,5.0,5e-07,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
38,0.21759048895761182,2025-09-11 17:52:50.366841,2025-09-11 17:59:44.299189,0 days 00:06:53.932348,silu,decreasing,16,True,0.5,False,True,,,512.0,13.0,5e-05,,L2,True,False,,,True,3,Adam,mean,,1e-07,0.21875,0.21640488656195464,,,,COMPLETE
39,0.21875,2025-09-11 17:59:44.301190,2025-09-11 17:59:48.749358,0 days 00:00:04.448168,,increasing,128,False,0.4,True,,,,,4.0,0.002,,minmax,False,,,,False,2,AdamW,max,,2e-07,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
40,0.21761658031088082,2025-09-11 17:59:48.750358,2025-09-11 17:59:53.581848,0 days 00:00:04.831490,tanh,uniform,64,False,0.1,False,,,,256.0,,0.001,,L2,True,,,,True,2,RMSprop,max,8.0,1e-05,0.21761658031088082,,,,,PRUNED
41,0.37056010875832207,2025-09-11 17:59:53.582848,2025-09-11 18:00:28.345040,0 days 00:00:34.762192,,uniform,32,False,0.2,True,,,,,,0.001,,L2,True,,,,False,2,RMSprop,max,0.0,1e-05,0.21761658031088082,0.319816980647571,0.3400352733686067,0.21875,0.34829059829059833,COMPLETE
42,0.17702448210922786,2025-09-11 18:00:28.347040,2025-09-11 18:00:31.315711,0 days 00:00:02.968671,,uniform,32,False,0.2,True,,,,,,0.001,,L2,True,,,,False,2,RMSprop,max,0.0,1e-05,0.17702448210922786,,,,,PRUNED
43,0.3604579059797209,2025-09-11 18:00:31.316712,2025-09-11 18:01:03.336349,0 days 00:00:32.019637,,uniform,32,False,0.30000000000000004,True,,,,,,0.001,,L2,True,,,,False,2,RMSprop,max,2.0,1e-05,0.21875,0.21640488656195464,,,,COMPLETE
44,0.178030303030303,2025-09-11 18:01:03.338349,2025-09-11 18:01:08.796973,0 days 00:00:05.458624,,uniform,32,False,0.2,True,,,,,,0.001,0.0,L2,False,,,,False,2,SGD,max,1.0,1e-05,0.21761658031088082,0.21761658031088082,0.178030303030303,,,PRUNED
45,0.08558558558558559,2025-09-11 18:01:08.797973,2025-09-11 18:01:14.936632,0 days 00:00:06.138659,,uniform,16,False,0.2,,,,,,,1e-05,,L2,,,,,False,1,RMSprop,max,4.0,1e-05,0.21761658031088082,0.21761658031088082,0.08558558558558559,,,PRUNED
46,0.21761658031088082,2025-09-11 18:01:14.937632,2025-09-11 18:01:19.719709,0 days 00:00:04.782077,relu,increasing,32,True,0.30000000000000004,True,True,,,1024.0,0.0,0.001,,L2,True,True,,,False,3,AdamW,mean,,0.0,0.21761658031088082,,,,,PRUNED
47,0.21875,2025-09-11 18:01:19.719709,2025-09-11 18:01:27.131377,0 days 00:00:07.411668,leakyrelu,uniform,64,False,0.1,True,False,True,True,128.0,,2e-05,,L2,True,False,True,True,False,5,RMSprop,max,2.0,2e-06,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
48,0.08888888888888889,2025-09-11 18:01:27.132377,2025-09-11 18:01:31.318825,0 days 00:00:04.186448,,increasing,16,False,0.5,,,,,,7.0,0.002,,L2,,,,,True,1,RMSprop,max,,1e-06,0.08888888888888889,,,,,PRUNED
49,0.21761658031088082,2025-09-11 18:01:31.319826,2025-09-11 18:01:33.833193,0 days 00:00:02.513367,elu,uniform,96,False,0.30000000000000004,False,True,True,,64.0,,5e-05,,L2,True,False,True,,False,4,AdamW,last,0.0,2e-07,0.21761658031088082,,,,,PRUNED
