number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum_sgd,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
21,0.3221496005809731,2025-09-12 09:35:15.760540,2025-09-12 09:35:27.196353,0 days 00:00:11.435813,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.24,0.24,,,COMPLETE
22,0.2193362193362193,2025-09-12 09:35:27.198354,2025-09-12 09:35:28.810372,0 days 00:00:01.612018,,increasing,64,False,0.2,True,,,,,6.0,0.001,,L2,True,,,,False,2,AdamW,max,,0.0,0.2193362193362193,,,,PRUNED
23,0.3648148148148148,2025-09-12 09:35:28.811373,2025-09-12 09:35:40.387262,0 days 00:00:11.575889,,increasing,64,False,0.1,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,0.0,0.2433862433862433,0.24,0.24,0.4861111111111111,COMPLETE
24,0.3910904712762297,2025-09-12 09:35:40.389263,2025-09-12 09:35:58.553123,0 days 00:00:18.163860,,increasing,64,False,0.1,True,True,,,,6.0,0.001,,L2,True,True,,,False,3,AdamW,max,,0.0,0.24,0.24,0.299719887955182,,COMPLETE
25,0.2355735492577597,2025-09-12 09:35:58.555123,2025-09-12 09:36:08.528214,0 days 00:00:09.973091,,uniform,16,False,0.1,False,True,,,,,0.001,,L2,True,True,,,False,3,AdamW,max,2.0,0.0,0.24,0.24,0.24,,COMPLETE
26,0.2369230769230769,2025-09-12 09:36:08.530215,2025-09-12 09:36:23.680507,0 days 00:00:15.150292,elu,increasing,64,True,0.0,True,True,,,64.0,4.0,0.001,,minmax,False,True,,,False,3,AdamW,max,,0.0,0.2307692307692307,0.24,0.24,0.24,COMPLETE
27,0.3617724867724867,2025-09-12 09:36:23.682508,2025-09-12 09:36:31.812319,0 days 00:00:08.129811,leakyrelu,increasing,64,False,0.1,False,True,True,,128.0,0.0,0.001,,L2,True,True,False,,False,4,AdamW,max,,1e-05,0.24,0.24,0.3518518518518518,,COMPLETE
28,0.2307692307692307,2025-09-12 09:36:31.814321,2025-09-12 09:36:36.559927,0 days 00:00:04.745606,elu,decreasing,16,False,0.0,,,,,768.0,9.0,5e-05,,L2,,,,,True,1,AdamW,mean,,0.0,0.2307692307692307,0.2307692307692307,,,PRUNED
29,0.2222222222222222,2025-09-12 09:36:36.560927,2025-09-12 09:36:40.654847,0 days 00:00:04.093920,relu,uniform,96,False,0.1,True,True,,,512.0,,0.0001,,minmax,True,True,,,False,3,AdamW,last,6.0,2e-06,0.2222222222222222,,,,PRUNED
30,0.1818181818181818,2025-09-12 09:36:40.655848,2025-09-12 09:36:45.681794,0 days 00:00:05.025946,tanh,decreasing,32,False,0.0,True,,,,1024.0,8.0,0.0002,,L2,True,,,,False,2,Adam,last,,1e-07,0.2780026990553306,0.2433862433862433,0.1818181818181818,,PRUNED
31,0.3688682490540075,2025-09-12 09:36:45.682794,2025-09-12 09:36:54.606989,0 days 00:00:08.924195,leakyrelu,increasing,64,False,0.1,False,True,True,,128.0,0.0,0.001,,L2,True,True,False,,False,4,AdamW,max,,1e-05,0.2916666666666667,0.24,0.24,0.2571428571428571,COMPLETE
32,0.1818181818181818,2025-09-12 09:36:54.608989,2025-09-12 09:36:57.078546,0 days 00:00:02.469557,leakyrelu,increasing,64,False,0.1,False,True,True,,128.0,1.0,1e-05,,L2,True,True,False,,False,4,AdamW,max,,1e-05,0.1818181818181818,,,,PRUNED
33,0.3513246500088605,2025-09-12 09:36:57.079546,2025-09-12 09:37:07.514268,0 days 00:00:10.434722,leakyrelu,increasing,64,False,0.1,False,True,True,True,128.0,1.0,0.001,,L2,True,True,False,True,False,5,AdamW,max,,5e-07,0.24,0.24,0.24,,COMPLETE
34,0.2369230769230769,2025-09-12 09:37:07.516269,2025-09-12 09:37:33.832257,0 days 00:00:26.315988,gelu,increasing,96,True,0.0,False,True,,,128.0,6.0,0.001,,minmax,True,True,,,False,3,AdamW,mean,,1e-05,0.24,0.24,,,COMPLETE
35,0.1818181818181818,2025-09-12 09:37:33.834257,2025-09-12 09:37:36.266805,0 days 00:00:02.432548,leakyrelu,increasing,128,False,0.1,False,True,,,64.0,3.0,2e-05,,L2,False,True,,,True,3,Adam,max,,1e-05,0.2307692307692307,0.1818181818181818,,,PRUNED
36,0.1818181818181818,2025-09-12 09:37:36.267805,2025-09-12 09:37:43.752519,0 days 00:00:07.484714,leakyrelu,increasing,64,True,0.1,False,True,False,,256.0,4.0,0.0001,0.4,minmax,True,True,True,,True,4,SGD,max,,1e-06,0.1818181818181818,,,,PRUNED
