number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
20,0.4272065876731031,2025-09-12 13:49:05.157497,2025-09-12 13:52:33.549585,0 days 00:03:28.392088,gelu,uniform,16,False,0.4,False,True,False,,1024.0,,0.0002,,L2,True,True,True,,True,4,Adam,max,4.0,2e-06,0.21875,0.3177228816814709,,,COMPLETE
21,0.178030303030303,2025-09-12 13:52:33.552586,2025-09-12 13:53:28.068157,0 days 00:00:54.515571,gelu,uniform,16,False,0.4,False,True,False,,1024.0,,0.0002,,L2,True,True,True,,True,4,Adam,max,4.0,2e-06,0.376068376068376,0.178030303030303,,,PRUNED
22,0.4407388670098417,2025-09-12 13:53:28.069156,2025-09-12 13:56:15.487172,0 days 00:02:47.418016,gelu,uniform,16,False,0.5,False,True,False,,1024.0,,0.0002,,L2,True,True,True,,True,4,Adam,max,3.0,2e-06,0.21875,0.3068920763649324,,,COMPLETE
23,0.178030303030303,2025-09-12 13:56:15.489172,2025-09-12 13:57:09.003665,0 days 00:00:53.514493,gelu,uniform,16,False,0.5,False,True,False,,1024.0,,0.0002,,L2,True,True,True,,True,4,Adam,max,3.0,2e-06,0.2384069830878341,0.3125,0.178030303030303,,PRUNED
24,0.178030303030303,2025-09-12 13:57:09.004664,2025-09-12 13:58:03.580675,0 days 00:00:54.576011,gelu,uniform,16,False,0.5,False,True,False,,1024.0,,0.0002,,L2,True,True,True,,True,4,Adam,max,5.0,2e-06,0.2176165803108808,0.178030303030303,,,PRUNED
25,0.415119245706528,2025-09-12 13:58:03.581675,2025-09-12 13:58:46.854073,0 days 00:00:43.272398,gelu,uniform,96,False,0.4,False,True,False,,1024.0,,0.0002,,L2,True,True,True,,True,4,Adam,max,0.0,2e-06,0.21875,0.2164048865619546,,,COMPLETE
26,0.2175904889576118,2025-09-12 13:58:46.856073,2025-09-12 14:04:26.939463,0 days 00:05:40.083390,tanh,uniform,16,True,0.5,False,True,False,True,256.0,,1e-05,,minmax,True,True,True,True,True,5,Adam,max,5.0,2e-06,0.21875,0.21875,0.178030303030303,,COMPLETE
27,0.1770244821092278,2025-09-12 14:04:26.941463,2025-09-12 14:04:33.101354,0 days 00:00:06.159891,elu,uniform,128,False,0.4,False,True,,,1024.0,,0.01,,L2,False,True,,,True,3,Adam,max,2.0,0.0,0.1770244821092278,,,,PRUNED
28,0.2175904889576118,2025-09-12 14:04:33.102355,2025-09-12 14:06:20.473546,0 days 00:01:47.371191,gelu,uniform,32,False,0.5,False,True,False,,1024.0,,2e-05,,L2,True,True,True,,True,4,Adam,last,6.0,1e-07,0.21875,0.21875,0.2164048865619546,,COMPLETE
29,0.3447142489991271,2025-09-12 14:06:20.475546,2025-09-12 14:08:20.159738,0 days 00:01:59.684192,gelu,uniform,16,False,0.5,False,True,,,1024.0,,0.0002,,L2,True,True,,,True,3,Adam,mean,3.0,2e-06,0.2176165803108808,0.21875,0.21875,0.3271284271284271,COMPLETE
30,0.178030303030303,2025-09-12 14:08:20.161739,2025-09-12 14:09:21.766605,0 days 00:01:01.604866,gelu,uniform,16,False,0.4,False,True,True,False,1024.0,,0.0002,,L2,True,True,False,False,True,5,Adam,max,2.0,2e-06,0.2176165803108808,0.418837975441749,0.178030303030303,,PRUNED
31,0.4421172546468054,2025-09-12 14:09:21.767605,2025-09-12 14:11:30.546187,0 days 00:02:08.778582,gelu,decreasing,16,False,0.3,False,True,,,1024.0,4.0,0.0002,,L2,True,True,,,True,3,AdamW,max,,2e-06,0.21875,0.3165266106442577,,,COMPLETE
32,0.4253993438221906,2025-09-12 14:11:30.548186,2025-09-12 14:14:10.193519,0 days 00:02:39.645333,gelu,decreasing,16,False,0.3,False,True,False,,64.0,4.0,0.0002,,L2,True,True,True,,True,4,Adam,max,,2e-06,0.21875,0.2960919540229885,,,COMPLETE
33,0.2164048865619546,2025-09-12 14:14:10.195519,2025-09-12 14:15:26.930756,0 days 00:01:16.735237,gelu,decreasing,16,False,0.3,False,True,,,64.0,3.0,0.0001,,L2,True,True,,,True,3,AdamW,max,,2e-06,0.2176165803108808,0.2759358288770053,0.21875,0.2164048865619546,PRUNED
34,0.2175904889576118,2025-09-12 14:15:26.931757,2025-09-12 14:16:15.948219,0 days 00:00:49.016462,gelu,decreasing,96,False,0.3,False,True,False,,64.0,5.0,0.0002,,minmax,True,True,True,,True,4,Adam,max,,5e-07,0.21875,0.21875,0.2164048865619546,,COMPLETE
35,0.2175904889576118,2025-09-12 14:16:15.949219,2025-09-12 14:18:01.111706,0 days 00:01:45.162487,leakyrelu,decreasing,16,True,0.4,False,True,,,64.0,3.0,1e-05,,L2,True,True,,,True,3,Adam,mean,,1e-06,0.300260601753139,0.2164048865619546,,,COMPLETE
36,0.2175904889576118,2025-09-12 14:18:01.113707,2025-09-12 14:20:34.892028,0 days 00:02:33.778321,elu,decreasing,16,False,0.2,False,True,False,True,512.0,6.0,0.0002,0.5,minmax,True,True,True,True,True,5,SGD,last,,2e-06,0.21875,0.21875,0.2164048865619546,,COMPLETE
37,0.2175904889576118,2025-09-12 14:20:34.894029,2025-09-12 14:21:14.964737,0 days 00:00:40.070708,tanh,decreasing,128,True,0.3,False,True,,,128.0,3.0,2e-05,,L2,False,True,,,True,3,AdamW,max,,2e-06,0.21875,0.2164048865619546,,,COMPLETE
38,0.178030303030303,2025-09-12 14:21:14.966737,2025-09-12 14:21:50.600650,0 days 00:00:35.633913,relu,decreasing,16,False,0.4,False,False,True,,768.0,4.0,0.0002,,minmax,True,False,False,,True,4,Adam,last,,1e-07,0.178030303030303,,,,PRUNED
39,0.178030303030303,2025-09-12 14:21:50.601650,2025-09-12 14:22:05.416984,0 days 00:00:14.815334,silu,decreasing,96,False,0.4,False,True,,,64.0,2.0,0.0001,,L2,False,True,,,True,3,AdamW,mean,,1e-06,0.2176165803108808,0.21875,0.21875,0.178030303030303,PRUNED
40,0.0855855855855855,2025-09-12 14:22:05.416984,2025-09-12 14:23:26.926157,0 days 00:01:21.509173,gelu,decreasing,16,True,0.3,False,True,False,False,128.0,6.0,5e-05,0.5,L2,True,True,True,False,False,5,SGD,max,,2e-07,0.0855855855855855,,,,PRUNED
41,0.178030303030303,2025-09-12 14:23:26.927156,2025-09-12 14:25:51.660044,0 days 00:02:24.732888,gelu,uniform,16,False,0.5,False,True,False,,1024.0,,0.0002,,L2,True,True,True,,True,4,Adam,max,7.0,2e-06,0.2998010798522307,0.3249417249417249,0.178030303030303,,PRUNED
42,0.4253011153535344,2025-09-12 14:25:51.661045,2025-09-12 14:28:04.941915,0 days 00:02:13.280870,gelu,uniform,16,False,0.5,False,True,False,,1024.0,,0.0002,,L2,True,True,True,,True,4,Adam,max,1.0,2e-06,0.3217263835820537,0.21875,0.3077942444914922,,COMPLETE
43,0.178030303030303,2025-09-12 14:28:04.951863,2025-09-12 14:28:53.044188,0 days 00:00:48.092325,gelu,uniform,16,False,0.4,False,True,False,,768.0,,0.0002,,L2,True,True,True,,True,4,Adam,max,3.0,2e-06,0.178030303030303,,,,PRUNED
44,0.178030303030303,2025-09-12 14:28:53.044188,2025-09-12 14:29:01.642684,0 days 00:00:08.598496,gelu,increasing,128,False,0.2,False,True,,,1024.0,1.0,0.002,,L2,False,False,,,True,3,Adam,max,,0.0,0.178030303030303,,,,PRUNED
45,0.2175904889576118,2025-09-12 14:29:01.642684,2025-09-12 14:30:27.044212,0 days 00:01:25.401528,relu,uniform,16,False,0.5,True,False,False,,256.0,,0.01,,L2,True,False,True,,True,4,Adam,max,1.0,5e-07,0.2176165803108808,0.21875,0.21875,0.2164048865619546,COMPLETE
46,0.2175904889576118,2025-09-12 14:30:27.044212,2025-09-12 14:31:27.061559,0 days 00:01:00.017347,tanh,uniform,32,False,0.4,False,True,False,True,64.0,,0.0002,,minmax,True,True,True,True,False,5,AdamW,max,1.0,2e-06,0.21875,0.21875,0.2164048865619546,,COMPLETE
47,0.2175904889576118,2025-09-12 14:31:27.061559,2025-09-12 14:33:09.022908,0 days 00:01:41.961349,gelu,increasing,16,False,0.3,False,False,False,,512.0,2.0,0.0002,0.1,L2,True,False,True,,True,4,SGD,max,,2e-06,0.21875,0.21875,0.2164048865619546,,COMPLETE
48,0.2175904889576118,2025-09-12 14:33:09.025317,2025-09-12 14:34:59.207256,0 days 00:01:50.181939,leakyrelu,uniform,16,True,0.5,True,True,,,1024.0,,1e-05,,L2,True,True,,,True,3,Adam,mean,3.0,2e-07,0.2176165803108808,0.21875,0.21875,0.2164048865619546,COMPLETE
49,0.3617481867578446,2025-09-12 14:34:59.209256,2025-09-12 14:36:09.045274,0 days 00:01:09.836018,silu,decreasing,16,False,0.2,False,,,,128.0,4.0,0.0002,,L2,False,,,,False,2,RMSprop,max,,2e-06,0.3434343434343434,0.21875,0.2164048865619546,,COMPLETE
