number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.2667812925755654,COMPLETE,2025-11-22 04:11:40.271901,2025-11-22 04:14:58.775148,0 days 00:03:18.503247,,16,False,0.5,,0.001,0.5,minmax,True,2,SGD,attention,1e-05,"[128, 128]",[],[],True
1,0.3884390284695995,COMPLETE,2025-11-22 04:14:58.778149,2025-11-22 04:19:32.509165,0 days 00:04:33.731016,silu,32,False,0.1,1024.0,2e-05,,minmax,True,4,AdamW,last,0.0,"[64, 128, 192, 256]",[2],"[2, 3]",False
2,0.4564050801661305,COMPLETE,2025-11-22 04:19:32.512884,2025-11-22 04:21:28.476619,0 days 00:01:55.963735,tanh,48,False,0.0,1024.0,5e-05,,minmax,False,1,AdamW,last,2e-06,[896],[],[],True
3,0.1761006289308176,PRUNED,2025-11-22 04:21:28.479669,2025-11-22 04:21:52.536270,0 days 00:00:24.056601,,48,True,0.2,,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
4,0.3867983336809105,COMPLETE,2025-11-22 04:21:52.537270,2025-11-22 04:23:11.547938,0 days 00:01:19.010668,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[512],[],[],True
5,0.21758419036095988,COMPLETE,2025-11-22 04:23:11.551267,2025-11-22 04:30:48.689428,0 days 00:07:37.138161,relu,16,True,0.0,256.0,0.01,0.7000000000000001,L2,True,3,SGD,attention,2e-07,"[448, 384, 256]","[2, 3]","[1, 2, 3]",False
6,0.2529974412422006,COMPLETE,2025-11-22 04:30:48.691456,2025-11-22 04:34:02.218112,0 days 00:03:13.526656,,32,True,0.0,,0.002,0.1,minmax,True,2,SGD,attention,2e-06,"[384, 384]",[],[],True
7,0.08888888888888889,PRUNED,2025-11-22 04:34:02.220137,2025-11-22 04:35:27.258818,0 days 00:01:25.038681,gelu,16,True,0.4,768.0,1e-05,0.9,minmax,False,2,SGD,max,0.0,"[768, 896]","[1, 2, 3]","[1, 2, 3]",False
8,0.43518870253736236,COMPLETE,2025-11-22 04:35:27.259838,2025-11-22 04:37:54.922854,0 days 00:02:27.663016,gelu,64,False,0.2,256.0,0.001,,L2,False,4,Adam,attention,0.0,"[64, 128, 192, 256]",[1],"[1, 3]",False
9,0.0898876404494382,PRUNED,2025-11-22 04:37:54.925907,2025-11-22 04:38:15.050022,0 days 00:00:20.124115,leakyrelu,96,False,0.0,768.0,0.001,0.9,minmax,False,1,SGD,mean,1e-05,[128],[],[],True
