number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
20,0.178030303030303,2025-09-12 06:00:13.774894,2025-09-12 06:01:04.252957,0 days 00:00:50.478063,,decreasing,96,False,0.0,True,True,,,,8.0,0.0002,,L2,False,True,,,True,3,RMSprop,max,,0.0,0.2852635948526359,0.178030303030303,,,PRUNED
21,0.178030303030303,2025-09-12 06:01:04.253957,2025-09-12 06:01:37.421474,0 days 00:00:33.167517,,decreasing,16,False,0.1,,,,,,5.0,5e-05,,L2,,,,,True,1,RMSprop,max,,1e-05,0.3509856253219085,0.21875,0.21875,0.178030303030303,PRUNED
22,0.08558558558558559,2025-09-12 06:01:37.422474,2025-09-12 06:01:53.926443,0 days 00:00:16.503969,,uniform,16,False,0.0,False,,,,,,0.01,,L2,True,,,,True,2,RMSprop,max,0.0,1e-05,0.08558558558558559,,,,PRUNED
23,0.4079168266146019,2025-09-12 06:01:53.927444,2025-09-12 06:02:27.945337,0 days 00:00:34.017893,,decreasing,16,False,0.30000000000000004,,,,,,2.0,0.002,,L2,,,,,True,1,RMSprop,max,,1e-05,0.21875,0.364657824933687,,,COMPLETE
24,0.38252600975273054,2025-09-12 06:02:27.947337,2025-09-12 06:03:07.209040,0 days 00:00:39.261703,,decreasing,16,False,0.30000000000000004,,,,,,2.0,0.002,,L2,,,,,True,1,RMSprop,max,,1e-05,0.34587500096676643,0.21875,0.21875,0.21640488656195464,COMPLETE
25,0.40148391662657396,2025-09-12 06:03:07.211040,2025-09-12 06:03:26.513887,0 days 00:00:19.302847,,decreasing,64,False,0.2,,,,,,2.0,0.002,,L2,,,,,True,1,RMSprop,max,,1e-05,0.21875,0.21875,0.32152355194951543,,COMPLETE
26,0.178030303030303,2025-09-12 06:03:26.515888,2025-09-12 06:03:33.212840,0 days 00:00:06.696952,elu,decreasing,64,True,0.2,,,,,64.0,2.0,0.002,,minmax,,,,,True,1,AdamW,max,,1e-05,0.178030303030303,,,,PRUNED
27,0.21640488656195464,2025-09-12 06:03:33.213840,2025-09-12 06:04:09.233792,0 days 00:00:36.019952,tanh,decreasing,64,False,0.30000000000000004,True,True,False,,256.0,4.0,0.002,,L2,False,False,True,,True,4,Adam,max,,1e-05,0.21875,0.21875,0.21640488656195464,,PRUNED
28,0.08558558558558559,2025-09-12 06:04:09.235793,2025-09-12 06:04:16.453061,0 days 00:00:07.217268,elu,decreasing,64,False,0.2,True,,,,512.0,1.0,0.002,,L2,False,,,,True,2,RMSprop,mean,,1e-06,0.08558558558558559,,,,PRUNED
29,0.347464794135077,2025-09-12 06:04:16.454061,2025-09-12 06:04:52.424009,0 days 00:00:35.969948,,decreasing,64,False,0.30000000000000004,False,False,,,,3.0,1e-05,,L2,False,True,,,True,3,RMSprop,last,,1e-05,0.21875,0.23606837606837605,,,COMPLETE
30,0.36532910935439267,2025-09-12 06:04:52.426009,2025-09-12 06:05:09.432486,0 days 00:00:17.006477,leakyrelu,decreasing,64,False,0.2,,,,,128.0,0.0,0.0002,,L2,,,,,True,1,AdamW,max,,0.0,0.34736318407960204,0.2537597563297163,0.21640488656195464,,COMPLETE
31,0.3991629126161333,2025-09-12 06:05:09.434486,2025-09-12 06:05:55.154699,0 days 00:00:45.720213,,decreasing,16,False,0.1,,,,,,3.0,0.002,,L2,,,,,True,1,RMSprop,max,,1e-05,0.3800860452289023,0.21875,0.3774922918807811,,COMPLETE
32,0.178030303030303,2025-09-12 06:05:55.156700,2025-09-12 06:06:11.820254,0 days 00:00:16.663554,,decreasing,16,False,0.1,,,,,,3.0,0.002,,L2,,,,,True,1,RMSprop,max,,1e-05,0.32636132315521627,0.3343399859943978,0.178030303030303,,PRUNED
33,0.4556880325638848,2025-09-12 06:06:11.821254,2025-09-12 06:06:44.512284,0 days 00:00:32.691030,,decreasing,96,False,0.1,True,,,,,3.0,0.0001,,L2,False,,,,True,2,RMSprop,max,,5e-07,0.21875,0.3289285714285714,,,COMPLETE
34,0.21640488656195464,2025-09-12 06:06:44.514285,2025-09-12 06:07:04.193726,0 days 00:00:19.679441,gelu,decreasing,96,False,0.1,True,,,,1024.0,2.0,0.0001,,minmax,False,,,,True,2,RMSprop,max,,5e-07,0.3494623655913978,0.21640488656195464,,,PRUNED
35,0.178030303030303,2025-09-12 06:07:04.195726,2025-09-12 06:07:25.578538,0 days 00:00:21.382812,relu,decreasing,96,True,0.2,True,,,,768.0,3.0,0.0001,0.5,L2,False,,,,True,2,SGD,last,,5e-07,0.21875,0.178030303030303,,,PRUNED
36,0.21761658031088082,2025-09-12 06:07:25.579538,2025-09-12 06:07:28.306162,0 days 00:00:02.726624,,decreasing,96,False,0.4,,,,,,1.0,0.0001,,minmax,,,,,True,1,Adam,mean,,5e-07,0.21761658031088082,,,,PRUNED
37,0.46575110694052,2025-09-12 06:07:28.307162,2025-09-12 06:09:10.564413,0 days 00:01:42.257251,gelu,decreasing,96,True,0.4,True,,,,128.0,5.0,0.0001,,L2,False,,,,True,2,RMSprop,max,,5e-07,0.21875,0.41892084050745676,,,COMPLETE
38,0.4783558374699979,2025-09-12 06:09:10.566414,2025-09-12 06:12:01.783506,0 days 00:02:51.217092,gelu,decreasing,96,True,0.4,True,False,,,128.0,5.0,0.0001,,minmax,False,False,,,True,3,AdamW,last,,5e-07,0.3473165721222308,0.21875,0.3966346153846154,,COMPLETE
39,0.4662970720015063,2025-09-12 06:12:01.785506,2025-09-12 06:14:18.550404,0 days 00:02:16.764898,gelu,decreasing,96,True,0.5,True,False,,,128.0,5.0,0.0001,,minmax,False,False,,,True,3,AdamW,last,,5e-07,0.385372406675919,0.21875,0.3726304137263041,,COMPLETE
