number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.4383234819758734,2025-09-12 14:36:11.610301,2025-09-12 14:37:24.446609,0 days 00:01:12.836308,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.178030303030303,0.178030303030303,0.4278076815390248,,COMPLETE
1,0.0894854586129754,2025-09-12 14:37:24.446609,2025-09-12 14:38:44.266557,0 days 00:01:19.819948,silu,decreasing,96,False,0.1,False,True,False,True,64.0,7.0,0.0001,0.3,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.178030303030303,0.178030303030303,0.0894854586129754,,PRUNED
2,0.2164048865619546,2025-09-12 14:38:44.267557,2025-09-12 14:40:02.081544,0 days 00:01:17.813987,relu,decreasing,16,True,0.4,False,False,,,512.0,2.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21875,0.21875,0.2164048865619546,,PRUNED
3,0.2175904889576118,2025-09-12 14:40:02.081544,2025-09-12 14:41:28.162855,0 days 00:01:26.081311,tanh,increasing,96,True,0.4,,,,,128.0,8.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.2176165803108808,0.178030303030303,0.178030303030303,0.178030303030303,COMPLETE
4,0.2175904889576118,2025-09-12 14:41:28.171370,2025-09-12 14:43:14.171736,0 days 00:01:46.000366,leakyrelu,uniform,128,False,0.3,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,7.0,2e-07,0.2176165803108808,0.21875,0.21875,0.178030303030303,COMPLETE
5,0.178030303030303,2025-09-12 14:43:14.173736,2025-09-12 14:47:02.809155,0 days 00:03:48.635419,gelu,increasing,128,True,0.0,False,False,True,False,128.0,4.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.21875,0.21875,0.178030303030303,,PRUNED
6,0.4312786396242422,2025-09-12 14:47:02.810155,2025-09-12 14:59:07.131321,0 days 00:12:04.321166,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,9.0,2e-07,0.2176165803108808,0.21875,0.21875,0.3897042506405213,COMPLETE
7,0.4077514556959965,2025-09-12 14:59:07.136092,2025-09-12 15:01:47.126444,0 days 00:02:39.990352,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.2663018695850433,0.3203738789945686,0.21875,0.4152847152847153,COMPLETE
8,0.178030303030303,2025-09-12 15:01:47.128444,2025-09-12 15:01:56.211050,0 days 00:00:09.082606,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.178030303030303,,,,PRUNED
9,0.178030303030303,2025-09-12 15:01:56.214150,2025-09-12 15:04:01.255845,0 days 00:02:05.041695,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,2.0,5e-07,0.2176165803108808,0.21875,0.21875,0.178030303030303,PRUNED
10,0.4375971136303313,2025-09-12 15:04:01.255845,2025-09-12 15:04:28.974812,0 days 00:00:27.718967,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.2520649161435911,0.3482456140350877,0.21875,0.3860880110880111,COMPLETE
11,0.4768136075797903,2025-09-12 15:04:28.974812,2025-09-12 15:04:56.474995,0 days 00:00:27.500183,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.21875,0.4516806722689075,,,COMPLETE
12,0.1828304597701149,2025-09-12 15:04:56.474995,2025-09-12 15:05:01.943545,0 days 00:00:05.468550,elu,uniform,32,False,0.1,,,,,256.0,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.1828304597701149,,,,PRUNED
13,0.0855855855855855,2025-09-12 15:05:01.943545,2025-09-12 15:05:17.005953,0 days 00:00:15.062408,,uniform,32,False,0.3,False,,,,,,0.01,,L2,True,,,,False,2,RMSprop,max,3.0,1e-05,0.0855855855855855,,,,PRUNED
14,0.178030303030303,2025-09-12 15:05:17.005953,2025-09-12 15:05:47.099399,0 days 00:00:30.093446,,uniform,32,False,0.1,True,True,False,,,,0.001,,L2,True,True,True,,True,4,RMSprop,max,2.0,1e-07,0.2176165803108808,0.3041272245361605,0.178030303030303,,PRUNED
15,0.4140810302432978,2025-09-12 15:05:47.099399,2025-09-12 15:06:54.708795,0 days 00:01:07.609396,,uniform,16,False,0.3,,,,,,,0.002,,L2,,,,,False,1,RMSprop,max,5.0,0.0,0.3424343772169859,0.21875,0.4007797270955165,,COMPLETE
16,0.3653967922624639,2025-09-12 15:06:54.708795,2025-09-12 15:07:51.099514,0 days 00:00:56.390719,leakyrelu,decreasing,32,False,0.2,False,,,,256.0,5.0,2e-05,,L2,True,,,,True,2,RMSprop,max,,1e-05,0.2273684210526315,0.2326388888888888,0.3498401793807548,0.3653967922624639,PRUNED
17,0.4244619496201969,2025-09-12 15:07:51.099514,2025-09-12 15:09:17.802435,0 days 00:01:26.702921,gelu,uniform,16,False,0.0,False,True,,,1024.0,,0.0002,,L2,True,True,,,False,3,RMSprop,max,0.0,1e-05,0.21875,0.21875,0.3658478227481792,,COMPLETE
18,0.2646862280541887,2025-09-12 15:09:17.802435,2025-09-12 15:10:12.490099,0 days 00:00:54.687664,tanh,uniform,96,False,0.5,True,True,False,,512.0,,5e-05,,L2,False,True,True,,True,4,RMSprop,max,4.0,2e-06,0.21875,0.2646862280541887,,,PRUNED
19,0.5008085512555775,2025-09-12 15:10:12.490099,2025-09-12 15:10:33.981758,0 days 00:00:21.491659,,decreasing,64,False,0.4,,,,,,0.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.21875,0.4625285109156077,,,COMPLETE
20,0.5027107918631116,2025-09-12 15:10:33.982758,2025-09-12 15:10:58.131287,0 days 00:00:24.148529,,decreasing,64,False,0.4,,,,,,0.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.4262380405663988,0.21875,0.4517126148705095,,COMPLETE
21,0.4659425685471056,2025-09-12 15:10:58.131287,2025-09-12 15:11:16.447793,0 days 00:00:18.316506,,decreasing,64,False,0.4,,,,,,0.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.21875,0.21875,0.4893349231584525,,COMPLETE
22,0.2161621358945773,2025-09-12 15:11:16.449794,2025-09-12 15:11:32.568371,0 days 00:00:16.118577,,decreasing,64,False,0.3,,,,,,2.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.4241090387574233,0.21875,0.2161621358945773,,PRUNED
23,0.3310027100271003,2025-09-12 15:11:32.568371,2025-09-12 15:11:46.088505,0 days 00:00:13.520134,,decreasing,64,False,0.4,,,,,,2.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.21875,0.3310027100271003,,,PRUNED
24,0.4312100791968934,2025-09-12 15:11:46.089505,2025-09-12 15:12:00.459130,0 days 00:00:14.369625,,decreasing,64,False,0.2,,,,,,0.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.21875,0.4312100791968934,,,PRUNED
25,0.0855855855855855,2025-09-12 15:12:00.459130,2025-09-12 15:12:11.302914,0 days 00:00:10.843784,,decreasing,64,False,0.3,True,,,,,3.0,1e-05,,L2,False,,,,False,2,Adam,last,,0.0,0.0855855855855855,,,,PRUNED
