number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
25,0.2144927536231884,PRUNED,2025-11-22 15:00:37.059184,2025-11-22 15:00:48.672861,0 days 00:00:11.613677,tanh,48,False,0.0,1024.0,0.0001,,minmax,False,1,AdamW,last,1e-06,[192],[],[],True
26,0.43365714161505736,COMPLETE,2025-11-22 15:00:48.674364,2025-11-22 15:05:17.063005,0 days 00:04:28.388641,tanh,64,True,0.2,256.0,0.0002,,L2,False,2,AdamW,last,1e-07,"[768, 768]",[],[],True
27,0.21839080459770113,PRUNED,2025-11-22 15:05:17.066510,2025-11-22 15:07:44.681341,0 days 00:02:27.614831,elu,64,True,0.2,256.0,0.0002,,L2,False,3,Adam,max,1e-07,"[768, 768, 768]",[],[],True
28,0.21758419036095988,COMPLETE,2025-11-22 15:07:44.682348,2025-11-22 15:09:17.658244,0 days 00:01:32.975896,leakyrelu,64,True,0.30000000000000004,256.0,0.0001,,L2,False,2,RMSprop,mean,1e-07,"[256, 192]","[1, 2, 3]","[1, 2, 3]",False
29,0.4319682437801161,COMPLETE,2025-11-22 15:09:17.661265,2025-11-22 15:12:23.449675,0 days 00:03:05.788410,gelu,64,True,0.4,256.0,0.0002,,L2,True,2,AdamW,attention,1e-05,"[192, 256]","[1, 2, 3]","[1, 2, 3]",False
30,0.1761006289308176,PRUNED,2025-11-22 15:12:23.454457,2025-11-22 15:12:47.521918,0 days 00:00:24.067461,silu,128,True,0.2,128.0,1e-05,,L2,False,3,Adam,last,1e-07,"[512, 512, 512]",[],[],True
31,0.4681588073493792,COMPLETE,2025-11-22 15:12:47.523042,2025-11-22 15:16:33.513922,0 days 00:03:45.990880,gelu,64,True,0.5,256.0,0.0002,,L2,True,2,AdamW,attention,1e-05,"[192, 256]","[1, 2, 3]","[1, 2, 3]",False
32,0.17777777777777778,PRUNED,2025-11-22 15:16:33.518270,2025-11-22 15:18:35.338510,0 days 00:02:01.820240,gelu,64,True,0.5,256.0,0.0002,,L2,True,2,AdamW,attention,1e-05,"[448, 512]","[1, 2, 3]","[1, 2, 3]",False
33,0.21637426900584797,PRUNED,2025-11-22 15:18:35.340511,2025-11-22 15:20:44.775926,0 days 00:02:09.435415,gelu,64,True,0.4,256.0,0.0002,,L2,True,2,AdamW,attention,1e-05,"[192, 256]","[1, 2, 3]","[1, 2, 3]",False
34,0.2137500986660352,PRUNED,2025-11-22 15:20:44.777961,2025-11-22 15:21:14.440913,0 days 00:00:29.662952,,64,True,0.5,,2e-05,,L2,True,2,AdamW,attention,1e-05,"[512, 640]","[1, 2, 3]","[1, 2, 3]",False
35,0.416030363472769,COMPLETE,2025-11-22 15:21:14.442950,2025-11-22 15:26:07.592765,0 days 00:04:53.149815,relu,96,True,0.1,256.0,5e-05,,L2,True,4,AdamW,last,5e-07,"[256, 384, 448, 512]","[1, 2, 3]",[1],False
36,0.21758419036095988,COMPLETE,2025-11-22 15:26:07.595835,2025-11-22 15:29:19.060928,0 days 00:03:11.465093,silu,16,True,0.0,512.0,0.01,,L2,True,1,AdamW,attention,2e-07,[640],[],[],True
37,0.429128220121231,COMPLETE,2025-11-22 15:29:19.064457,2025-11-22 15:34:43.488101,0 days 00:05:24.423644,tanh,32,True,0.0,256.0,0.0002,,L2,True,3,AdamW,last,2e-06,"[128, 192, 256]","[1, 2, 3]","[1, 3]",False
38,0.08239700374531835,PRUNED,2025-11-22 15:34:43.491390,2025-11-22 15:35:51.726454,0 days 00:01:08.235064,,64,True,0.30000000000000004,,0.002,0.0,L2,True,2,SGD,mean,1e-07,"[896, 768]","[1, 2, 3]","[1, 2, 3]",False
39,0.0898876404494382,PRUNED,2025-11-22 15:35:51.727454,2025-11-22 15:37:07.227159,0 days 00:01:15.499705,gelu,32,True,0.0,768.0,0.001,,L2,True,1,RMSprop,attention,0.0,[896],[],[],True
40,0.4122653356863977,COMPLETE,2025-11-22 15:37:07.228168,2025-11-22 15:48:47.661806,0 days 00:11:40.433638,tanh,16,True,0.1,256.0,5e-05,,L2,False,3,AdamW,last,2e-06,"[384, 448, 512]","[1, 3]","[2, 3]",False
41,0.43833341398127884,COMPLETE,2025-11-22 15:48:47.665329,2025-11-22 15:52:14.729340,0 days 00:03:27.064011,gelu,64,True,0.4,256.0,0.0002,,L2,True,2,AdamW,attention,1e-05,"[192, 256]","[1, 2, 3]","[1, 2, 3]",False
42,0.17777777777777778,PRUNED,2025-11-22 15:52:14.733843,2025-11-22 15:54:37.477891,0 days 00:02:22.744048,gelu,64,True,0.5,256.0,0.0002,,L2,True,2,AdamW,attention,1e-05,"[192, 256]","[1, 2, 3]","[1, 2, 3]",False
43,0.45864597559740333,COMPLETE,2025-11-22 15:54:37.479892,2025-11-22 15:58:08.006234,0 days 00:03:30.526342,gelu,64,True,0.4,256.0,0.0002,,L2,True,2,AdamW,attention,1e-05,"[256, 384]","[1, 2, 3]","[1, 2, 3]",False
44,0.17777777777777778,PRUNED,2025-11-22 15:58:08.010234,2025-11-22 16:00:24.744926,0 days 00:02:16.734692,gelu,64,True,0.4,256.0,0.0002,,L2,True,2,AdamW,attention,1e-05,"[256, 384]","[1, 2, 3]","[1, 2, 3]",False
45,0.17777777777777778,PRUNED,2025-11-22 16:00:24.745977,2025-11-22 16:00:50.483221,0 days 00:00:25.737244,gelu,64,False,0.0,768.0,2e-05,0.30000000000000004,L2,True,1,SGD,attention,1e-05,[128],[],[],True
46,0.1761006289308176,PRUNED,2025-11-22 16:00:50.484241,2025-11-22 16:01:07.581874,0 days 00:00:17.097633,gelu,96,True,0.4,256.0,0.0002,,minmax,True,2,AdamW,attention,1e-05,"[256, 384]","[1, 2, 3]","[1, 2, 3]",False
47,0.21758419036095988,COMPLETE,2025-11-22 16:01:07.581874,2025-11-22 16:02:21.437743,0 days 00:01:13.855869,,128,False,0.5,,0.001,,minmax,True,4,Adam,attention,1e-05,"[192, 256, 384, 448]","[1, 3]",[1],False
48,0.3609226594301221,PRUNED,2025-11-22 16:02:21.440743,2025-11-22 16:03:41.109653,0 days 00:01:19.668910,gelu,32,True,0.0,512.0,0.0001,,L2,True,1,AdamW,attention,1e-05,[384],[],[],True
49,0.17777777777777778,PRUNED,2025-11-22 16:03:41.110701,2025-11-22 16:06:39.496689,0 days 00:02:58.385988,gelu,16,False,0.30000000000000004,128.0,0.01,,minmax,True,3,AdamW,max,0.0,"[128, 192, 256]","[2, 3]","[1, 2, 3]",False
