number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
20,0.21761658031088082,2025-09-12 12:17:52.531042,2025-09-12 12:18:06.266134,0 days 00:00:13.735092,,decreasing,64,False,0.4,False,True,,,,3.0,1e-05,,L2,True,True,,,True,3,Adam,last,,1e-07,0.2355630946234973,0.21761658031088082,,,,PRUNED
21,0.45247797697698205,2025-09-12 12:18:06.267135,2025-09-12 12:18:32.266986,0 days 00:00:25.999851,,decreasing,64,False,0.5,,,,,,0.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.2874920122422897,0.39913826870348607,0.44732216708023165,0.3524590163934426,,COMPLETE
22,0.178030303030303,2025-09-12 12:18:32.268988,2025-09-12 12:18:41.439051,0 days 00:00:09.170063,,decreasing,64,False,0.5,,,,,,0.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.178030303030303,,,,,PRUNED
23,0.178030303030303,2025-09-12 12:18:41.440051,2025-09-12 12:18:52.406519,0 days 00:00:10.966468,,decreasing,64,False,0.5,False,,,,,2.0,0.001,,L2,True,,,,False,2,Adam,last,,1e-07,0.178030303030303,,,,,PRUNED
24,0.45659572365193074,2025-09-12 12:18:52.407521,2025-09-12 12:19:18.427376,0 days 00:00:26.019855,,decreasing,64,False,0.4,,,,,,0.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.2520908004778972,0.3608058608058608,0.21875,0.42640297709297786,,COMPLETE
25,0.21640488656195464,2025-09-12 12:19:18.430377,2025-09-12 12:19:33.141688,0 days 00:00:14.711311,,decreasing,64,False,0.5,True,,,,,2.0,0.01,,L2,False,,,,False,2,Adam,last,,0.0,0.21875,0.21875,0.21640488656195464,,,PRUNED
26,0.21759048895761182,2025-09-12 12:19:33.142689,2025-09-12 12:19:50.805663,0 days 00:00:17.662974,elu,decreasing,64,True,0.4,,,,,512.0,1.0,0.001,,minmax,,,,,False,1,Adam,last,,1e-07,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,COMPLETE
27,0.18122489959839358,2025-09-12 12:19:50.807664,2025-09-12 12:20:00.534853,0 days 00:00:09.727189,leakyrelu,decreasing,128,False,0.5,False,,,,128.0,4.0,0.01,,L2,True,,,,False,2,Adam,last,,1e-07,0.21761658031088082,0.18122489959839358,,,,PRUNED
28,0.4188830883631556,2025-09-12 12:20:00.535853,2025-09-12 12:20:53.670816,0 days 00:00:53.134963,tanh,decreasing,16,False,0.4,,,,,256.0,1.0,5e-05,,L2,,,,,True,1,Adam,last,,1e-07,0.32963858099286053,0.37523237523237524,0.21875,0.3526968474525624,,COMPLETE
29,0.48130472218389103,2025-09-12 12:20:53.672813,2025-09-12 12:24:24.004035,0 days 00:03:30.331222,elu,decreasing,96,False,0.30000000000000004,False,,,,64.0,9.0,0.0001,,minmax,True,,,,False,2,AdamW,last,,0.0,0.21761658031088082,0.4344265219274775,0.21875,0.4317845896793265,,COMPLETE
