channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,weight_decay,norm,dropout,ln_block_end,best_f1,source_params
"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,max,320.0,96,AdamW,,0.0,,"[None, 0.05, 0.1, 0.1, 0.15]","[True, True, True, True, True]",0.75328,Preset_36
[256],[1],7,2,hardswish,False,False,last,128.0,16,AdamW,,1e-06,L2,[0.3],[False],0.70202,Preset_31
"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,max,256.0,16,RMSprop,,5e-07,L2,"[0.0, 0.1, 0.1, 0.0]","[True, False, False, False]",0.69591,Preset_42
"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,mean,256.0,16,AdamW,,0.0,L2,"[0.0, 0.0, 0.2, 0.0]","[False, True, False, False]",0.69451,Preset_17
"[256, 384, 512, 640]","[1, 2, 4, 8]",3,2,gelu,True,True,mean,256.0,96,Adam,,1e-05,L2,"[0.05, 0.05, 0.05, 0.05]","[True, True, True, True]",0.69444,Preset_40
