number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_dropout_layer_5,params_dropout_rate,params_lr,params_momentum_sgd,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_layer_5,params_num_layers,params_optimizer,params_pca_frac,params_pooling,params_use_pca,params_wd,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.4454,2025-10-23 17:20:09.153152,2025-10-23 17:20:30.445620,0 days 00:00:21.292468,elu,896,80,True,False,False,True,,0.0,2e-05,,L2,True,False,False,False,,4,Adam,,max,False,1e-06,0.3560112102493709,0.21839080459770113,0.21839080459770113,0.21637426900584797,COMPLETE
1,0.2176,2025-10-23 17:20:30.448655,2025-10-23 17:20:43.892787,0 days 00:00:13.444132,elu,640,80,False,False,,,,0.4,1e-05,0.9,L2,True,False,,,,2,SGD,,max,False,1e-06,0.2473604826546003,0.0898876404494382,,,COMPLETE
2,0.1778,2025-10-23 17:20:43.897255,2025-10-23 17:20:56.252714,0 days 00:00:12.355459,gelu,768,128,False,False,False,,,0.4,0.0005,,L2,False,True,True,,,3,AdamW,,mean,False,1e-06,0.40066035659256,0.21839080459770113,0.21839080459770113,0.17777777777777778,PRUNED
3,0.3845,2025-10-23 17:20:56.253836,2025-10-23 17:21:24.334224,0 days 00:00:28.080388,elu,640,32,True,,,,,0.4,0.0002,,L2,False,,,,,1,RMSprop,0.8,max,True,1e-05,0.3924928600571196,,,,COMPLETE
4,0.3601,2025-10-23 17:21:24.340711,2025-10-23 17:21:30.242633,0 days 00:00:05.901922,gelu,768,32,False,True,False,,,0.4,0.0005,,L2,True,True,True,,,3,Adam,0.95,max,True,0.0,0.36013071895424836,,,,PRUNED
5,0.2164,2025-10-23 17:21:30.244309,2025-10-23 17:21:51.402228,0 days 00:00:21.157919,leakyrelu,1280,64,False,True,False,False,,0.5,0.0001,,minmax,False,False,True,False,,4,Adam,,max,False,1e-05,0.21637426900584797,,,,PRUNED
6,0.356,2025-10-23 17:21:51.403247,2025-10-23 17:21:53.992889,0 days 00:00:02.589642,silu,1024,64,False,,,,,0.3,2e-05,,minmax,True,,,,,1,AdamW,,mean,False,1e-05,0.355968352253182,,,,PRUNED
7,0.4581,2025-10-23 17:21:53.993889,2025-10-23 17:22:15.193959,0 days 00:00:21.200070,leakyrelu,896,96,False,True,True,False,,0.5,0.001,,minmax,False,False,True,True,,4,AdamW,,mean,False,0.0001,0.37997486384583157,0.21839080459770113,0.21839080459770113,0.21637426900584797,COMPLETE
8,0.3225,2025-10-23 17:22:15.197199,2025-10-23 17:22:18.336804,0 days 00:00:03.139605,tanh,1024,128,True,True,False,False,False,0.3,0.001,,minmax,False,True,True,False,True,5,AdamW,,max,False,1e-05,0.32245532245532244,,,,PRUNED
9,0.2372,2025-10-23 17:22:18.337804,2025-10-23 17:23:02.478468,0 days 00:00:44.140664,gelu,768,32,False,True,True,False,True,0.4,1e-05,,minmax,True,False,True,False,False,5,Adam,0.9,max,True,1e-05,0.23716739995809766,,,,PRUNED
