number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,optimizer,pooling,weight_decay
0,0.23565968212066216,COMPLETE,2025-12-09 09:07:32.593190,2025-12-09 09:11:39.247274,0 days 00:04:06.654084,"[896, 768]",[1],[],2,False,0.5,decreasing,leakyrelu,128,True,1024.0,2e-05,0.9,minmax,True,SGD,attention,1e-06
1,0.29113396437534367,COMPLETE,2025-12-09 09:11:39.248274,2025-12-09 09:13:09.999891,0 days 00:01:30.751617,[768],[],[],1,True,0.0,decreasing,tanh,32,True,768.0,1e-05,0.0,L2,True,SGD,last,1e-07
2,0.3913976908116764,COMPLETE,2025-12-09 09:13:10.000908,2025-12-09 09:17:58.807420,0 days 00:04:48.806512,"[512, 640, 768]",[2],[1],3,False,0.2,increasing,elu,64,False,512.0,1e-05,,L2,True,Adam,last,0.0
3,0.45667477351687874,COMPLETE,2025-12-09 09:17:58.808436,2025-12-09 09:25:17.880304,0 days 00:07:19.071868,"[640, 512]",[],[],2,False,0.0,decreasing,gelu,96,True,512.0,0.0002,,L2,False,Adam,last,1e-05
4,0.2540237929664819,COMPLETE,2025-12-09 09:25:17.882305,2025-12-09 09:28:36.629657,0 days 00:03:18.747352,"[640, 768]",[1],[1],2,False,0.4,increasing,leakyrelu,96,True,128.0,0.0001,0.9,minmax,False,SGD,attention,0.0
5,0.44100972504208247,COMPLETE,2025-12-09 09:28:36.630664,2025-12-09 09:33:37.173954,0 days 00:05:00.543290,"[448, 448]",[1],[],2,False,0.5,uniform,silu,32,True,512.0,0.0002,,L2,False,Adam,mean,1e-07
6,0.21758419036095988,COMPLETE,2025-12-09 09:33:37.175974,2025-12-09 09:37:20.459765,0 days 00:03:43.283791,"[512, 640, 768, 896]","[1, 3]",[1],4,False,0.5,increasing,silu,32,False,256.0,2e-05,0.9,minmax,True,SGD,attention,1e-07
7,0.23803301356840376,COMPLETE,2025-12-09 09:37:20.461780,2025-12-09 09:38:18.632138,0 days 00:00:58.170358,"[128, 192, 256, 384]",[2],"[1, 2]",4,False,0.1,increasing,relu,64,False,768.0,0.0001,,minmax,True,Adam,attention,0.0
8,0.21758419036095988,COMPLETE,2025-12-09 09:38:18.633137,2025-12-09 09:40:01.269964,0 days 00:01:42.636827,"[896, 768]",[],[1],2,False,0.0,decreasing,,128,False,,0.0002,,minmax,True,Adam,mean,1e-05
9,0.22219339453080478,COMPLETE,2025-12-09 09:40:01.270964,2025-12-09 09:40:22.945318,0 days 00:00:21.674354,"[192, 128]",[],[],2,False,0.0,decreasing,gelu,128,False,768.0,2e-05,,minmax,True,Adam,last,0.0
