number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,batch_size,bidirectional,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,activation,fc_hidden,momentum_sgd
0,0.43644454875977334,COMPLETE,2025-12-09 13:07:57.123497,2025-12-09 13:10:13.898897,0 days 00:02:16.775400,"[256, 192, 128]",[1],[2],3,False,0.2,decreasing,32,True,5e-05,L2,True,Adam,mean,1e-07,,,
1,0.32853720818146354,COMPLETE,2025-12-09 13:10:13.898897,2025-12-09 13:11:26.147959,0 days 00:01:12.249062,"[256, 384]",[],[1],2,False,0.0,increasing,16,False,5e-05,minmax,True,Adam,last,0.0,relu,768.0,
2,0.21758419036095988,COMPLETE,2025-12-09 13:11:26.147959,2025-12-09 13:12:52.379951,0 days 00:01:26.231992,"[192, 192, 192, 192]",[],[],4,True,0.3,uniform,16,True,1e-05,minmax,True,RMSprop,attention,1e-05,relu,256.0,
3,0.21758419036095988,COMPLETE,2025-12-09 13:12:52.379951,2025-12-09 13:13:25.727167,0 days 00:00:33.347216,"[192, 256, 384, 448]",[],"[1, 3]",4,False,0.0,increasing,96,True,0.001,L2,False,AdamW,mean,1e-07,relu,128.0,
4,0.22986967123245297,COMPLETE,2025-12-09 13:13:25.727167,2025-12-09 13:14:21.803002,0 days 00:00:56.075835,[768],[],[],1,True,0.0,decreasing,16,True,0.0002,L2,False,SGD,max,1e-06,gelu,1024.0,0.0
5,0.21758419036095988,COMPLETE,2025-12-09 13:14:21.803002,2025-12-09 13:16:26.235759,0 days 00:02:04.432757,"[896, 896, 896]",[],[],3,True,0.2,uniform,48,True,0.001,minmax,True,Adam,attention,0.0,relu,256.0,
6,0.3279052805375412,COMPLETE,2025-12-09 13:16:26.235759,2025-12-09 13:16:59.474625,0 days 00:00:33.238866,"[640, 512]",[1],[1],2,False,0.2,decreasing,128,False,1e-05,L2,True,RMSprop,last,1e-07,relu,512.0,
7,0.21758419036095988,COMPLETE,2025-12-09 13:16:59.474625,2025-12-09 13:17:37.676052,0 days 00:00:38.201427,"[768, 640, 512]",[1],[],3,False,0.5,decreasing,48,False,5e-05,L2,False,RMSprop,attention,1e-05,,,
8,0.2415488420242638,COMPLETE,2025-12-09 13:17:37.676052,2025-12-09 13:17:57.982818,0 days 00:00:20.306766,"[192, 128, 64]",[1],[],3,False,0.1,decreasing,96,True,5e-05,minmax,True,RMSprop,mean,1e-07,,,
9,0.32005837796192377,COMPLETE,2025-12-09 13:17:57.982818,2025-12-09 13:19:02.760139,0 days 00:01:04.777321,"[64, 64, 64, 64]",[2],[1],4,False,0.1,uniform,32,False,5e-05,L2,True,AdamW,max,1e-05,gelu,1024.0,
10,0.21758419036095988,COMPLETE,2025-12-09 13:19:02.760139,2025-12-09 13:19:21.539531,0 days 00:00:18.779392,[64],[],[],1,True,0.0,decreasing,32,True,0.0001,L2,False,Adam,mean,1e-06,,,
