number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
24,0.40443686743676066,COMPLETE,2025-12-09 17:15:27.320434,2025-12-09 17:22:34.694221,0 days 00:07:07.373787,"[256, 192, 128]",[],[],3,False,0.0,decreasing,gelu,16,True,512.0,0.0002,minmax,True,Adam,max,1e-07,
25,0.3978273953833439,COMPLETE,2025-12-09 17:22:34.695549,2025-12-09 17:24:26.270183,0 days 00:01:51.574634,"[256, 192, 128]",[],[],3,False,0.0,decreasing,gelu,128,True,512.0,0.0002,minmax,True,Adam,max,1e-07,
26,0.21758419036095988,COMPLETE,2025-12-09 17:24:26.271183,2025-12-09 17:24:59.195435,0 days 00:00:32.924252,"[256, 192, 128]",[2],[2],3,False,0.2,decreasing,gelu,128,False,512.0,0.0002,minmax,False,Adam,mean,1e-07,
27,0.27430488822359517,COMPLETE,2025-12-09 17:24:59.196938,2025-12-09 17:25:38.151943,0 days 00:00:38.955005,"[192, 128]",[],[],2,False,0.0,decreasing,,128,True,,0.0002,minmax,True,Adam,attention,1e-06,
28,0.21758419036095988,COMPLETE,2025-12-09 17:25:38.152949,2025-12-09 17:32:52.106602,0 days 00:07:13.953653,"[896, 896, 896]",[],[1],3,False,0.0,uniform,gelu,128,True,256.0,0.0002,minmax,True,AdamW,last,1e-05,
29,0.2426060972703441,COMPLETE,2025-12-09 17:32:52.108007,2025-12-09 17:33:25.027829,0 days 00:00:32.919822,"[256, 192]",[1],[],2,False,0.5,decreasing,gelu,96,False,128.0,0.0002,minmax,True,AdamW,last,0.0,
30,0.21758419036095988,COMPLETE,2025-12-09 17:33:25.029844,2025-12-09 17:35:58.282973,0 days 00:02:33.253129,"[448, 448, 448]",[],[],3,True,0.1,uniform,gelu,48,True,512.0,0.0002,minmax,True,Adam,max,1e-07,
31,0.4110558840544785,COMPLETE,2025-12-09 17:35:58.284973,2025-12-09 17:40:01.026427,0 days 00:04:02.741454,"[256, 192, 128]",[],[],3,False,0.0,decreasing,silu,32,True,512.0,0.0002,minmax,True,Adam,max,1e-07,
32,0.43093273362104245,COMPLETE,2025-12-09 17:40:01.027458,2025-12-09 17:44:34.996512,0 days 00:04:33.969054,"[256, 192, 128]",[],[],3,False,0.0,decreasing,silu,32,True,512.0,0.0002,minmax,True,Adam,max,1e-07,
33,0.4447200813384164,COMPLETE,2025-12-09 17:44:34.996512,2025-12-09 17:49:39.689607,0 days 00:05:04.693095,"[256, 192, 128]",[],[],3,False,0.0,decreasing,silu,32,True,512.0,0.0002,minmax,True,Adam,max,1e-07,
34,0.21758419036095988,COMPLETE,2025-12-09 17:49:39.690612,2025-12-09 17:51:34.711471,0 days 00:01:55.020859,"[192, 128, 64]",[],[],3,False,0.0,decreasing,silu,32,True,256.0,0.0002,minmax,True,RMSprop,last,1e-07,
35,0.4357522243450796,COMPLETE,2025-12-09 17:51:34.712476,2025-12-09 17:57:24.793181,0 days 00:05:50.080705,"[448, 448, 448]",[],[],3,False,0.0,uniform,silu,32,True,512.0,0.0002,L2,True,Adam,max,1e-05,
36,0.21758419036095988,COMPLETE,2025-12-09 17:57:24.794186,2025-12-09 17:58:45.483763,0 days 00:01:20.689577,"[448, 448]",[],[],2,False,0.0,uniform,silu,32,False,768.0,1e-05,L2,False,RMSprop,max,1e-05,
37,0.439625221732822,COMPLETE,2025-12-09 17:58:45.484812,2025-12-09 18:03:26.752231,0 days 00:04:41.267419,"[256, 256, 256]",[],[],3,False,0.0,uniform,silu,32,True,1024.0,0.001,L2,True,Adam,max,1e-05,
38,0.21758419036095988,COMPLETE,2025-12-09 18:03:26.752231,2025-12-09 18:05:26.739033,0 days 00:01:59.986802,"[256, 256, 256]",[],[],3,False,0.0,uniform,silu,32,True,1024.0,0.001,L2,True,SGD,attention,1e-05,0.8
39,0.21758419036095988,COMPLETE,2025-12-09 18:05:26.740350,2025-12-09 18:06:28.976348,0 days 00:01:02.235998,"[512, 512]",[1],[],2,False,0.5,uniform,silu,32,False,1024.0,0.001,L2,False,RMSprop,last,1e-05,
40,0.21758419036095988,COMPLETE,2025-12-09 18:06:28.977351,2025-12-09 18:08:31.608633,0 days 00:02:02.631282,"[256, 256, 256]",[2],"[1, 2]",3,False,0.5,uniform,silu,32,True,1024.0,0.001,L2,True,Adam,mean,1e-05,
41,0.43453333954992884,COMPLETE,2025-12-09 18:08:31.609637,2025-12-09 18:15:27.665172,0 days 00:06:56.055535,"[640, 640, 640]",[],[],3,False,0.0,uniform,silu,32,True,1024.0,5e-05,L2,True,Adam,max,1e-05,
42,0.4353868822797412,COMPLETE,2025-12-09 18:15:27.665172,2025-12-09 18:26:40.239403,0 days 00:11:12.574231,"[640, 640, 640]",[],[],3,False,0.0,uniform,silu,32,True,1024.0,5e-05,L2,True,Adam,max,1e-05,
43,0.4321962477801787,COMPLETE,2025-12-09 18:26:40.240403,2025-12-09 18:32:22.548257,0 days 00:05:42.307854,"[384, 384, 384]",[],[],3,False,0.0,uniform,silu,32,True,1024.0,5e-05,L2,True,Adam,max,1e-05,
44,0.25949065596937215,COMPLETE,2025-12-09 18:32:22.550264,2025-12-09 18:34:37.212314,0 days 00:02:14.662050,"[512, 512, 512]",[],[],3,False,0.0,uniform,silu,96,True,1024.0,5e-05,L2,True,SGD,max,1e-05,0.7
45,0.2627471475050639,COMPLETE,2025-12-09 18:34:37.212314,2025-12-09 18:37:01.842466,0 days 00:02:24.630152,"[128, 192, 256]",[],[],3,False,0.0,increasing,tanh,32,True,768.0,2e-05,L2,True,Adam,max,0.0,
46,0.4428834284031117,COMPLETE,2025-12-09 18:37:01.842466,2025-12-09 18:42:20.088565,0 days 00:05:18.246099,"[640, 640]",[1],[],2,False,0.5,uniform,leakyrelu,64,True,1024.0,5e-05,L2,True,Adam,max,1e-05,
47,0.4385269179704089,COMPLETE,2025-12-09 18:42:20.088565,2025-12-09 18:43:26.539434,0 days 00:01:06.450869,"[384, 384]",[1],[1],2,False,0.5,uniform,,64,False,,0.001,L2,False,AdamW,max,1e-05,
48,0.4544028967689842,COMPLETE,2025-12-09 18:43:26.539434,2025-12-09 18:44:08.331348,0 days 00:00:41.791914,[256],[],[],1,True,0.0,uniform,,64,False,,0.001,L2,False,AdamW,max,1e-05,
49,0.4150445505740805,COMPLETE,2025-12-09 18:44:08.333097,2025-12-09 18:44:44.072266,0 days 00:00:35.739169,[128],[],[],1,True,0.0,increasing,,64,False,,0.001,L2,False,AdamW,attention,0.0,
