number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,optimizer,pooling,weight_decay
0,0.21758419036095988,COMPLETE,2025-12-09 06:13:28.601663,2025-12-09 06:14:33.746281,0 days 00:01:05.144618,"[384, 384, 384, 384]",[1],[3],4,False,0.1,uniform,elu,128,False,128.0,0.0001,0.9,L2,False,SGD,mean,0.0
1,0.15792844637453876,COMPLETE,2025-12-09 06:14:33.748795,2025-12-09 06:28:17.404354,0 days 00:13:43.655559,"[768, 768, 768, 768]",[],[],4,True,0.3,uniform,gelu,16,True,128.0,5e-05,0.0,L2,False,SGD,max,1e-05
2,0.23310808864347882,COMPLETE,2025-12-09 06:28:17.406363,2025-12-09 06:28:43.946891,0 days 00:00:26.540528,[256],[],[],1,True,0.0,decreasing,elu,96,True,768.0,1e-05,,L2,True,Adam,mean,1e-05
3,0.28908020869376505,COMPLETE,2025-12-09 06:28:43.948402,2025-12-09 06:29:25.827582,0 days 00:00:41.879180,"[192, 128, 64]","[1, 2]","[1, 2]",3,False,0.1,decreasing,,64,False,,2e-05,0.7,minmax,True,SGD,max,1e-07
4,0.21758419036095988,COMPLETE,2025-12-09 06:29:25.828688,2025-12-09 06:32:25.151625,0 days 00:02:59.322937,"[448, 512]",[],[],2,False,0.0,increasing,elu,16,True,768.0,1e-05,0.8,L2,True,SGD,max,1e-05
5,0.26053965207616697,COMPLETE,2025-12-09 06:32:25.152626,2025-12-09 06:32:53.127178,0 days 00:00:27.974552,[64],[],[],1,True,0.0,increasing,tanh,48,True,1024.0,0.001,0.9,L2,False,SGD,last,1e-06
6,0.21758419036095988,COMPLETE,2025-12-09 06:32:53.128230,2025-12-09 06:36:34.942702,0 days 00:03:41.814472,"[448, 512, 640]",[2],[2],3,False,0.1,increasing,leakyrelu,48,True,1024.0,0.0002,,minmax,False,RMSprop,attention,1e-07
7,0.26943806403023424,COMPLETE,2025-12-09 06:36:34.943724,2025-12-09 06:37:00.861169,0 days 00:00:25.917445,[448],[],[],1,True,0.0,decreasing,gelu,64,False,256.0,2e-05,,L2,False,AdamW,last,1e-06
8,0.21758419036095988,COMPLETE,2025-12-09 06:37:00.863398,2025-12-09 06:48:21.599272,0 days 00:11:20.735874,"[896, 896, 896, 896]","[1, 2]",[],4,False,0.3,uniform,tanh,64,True,512.0,5e-05,,minmax,False,Adam,attention,1e-05
9,0.23356264031084514,COMPLETE,2025-12-09 06:48:21.601285,2025-12-09 06:48:49.614162,0 days 00:00:28.012877,"[256, 256]",[],[],2,False,0.0,uniform,silu,96,False,256.0,2e-05,,L2,True,RMSprop,last,0.0
10,0.3423979991969438,COMPLETE,2025-12-09 06:48:49.615235,2025-12-09 06:52:21.861426,0 days 00:03:32.246191,"[768, 640, 512]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
11,0.3074880080282319,COMPLETE,2025-12-09 06:52:21.862433,2025-12-09 06:56:29.595340,0 days 00:04:07.732907,"[896, 768, 640]","[1, 2]","[1, 2]",3,False,0.5,decreasing,,32,False,,2e-05,,minmax,True,AdamW,max,1e-07
