number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
21,0.4374468920252782,COMPLETE,2025-12-09 02:28:38.965596,2025-12-09 02:32:41.170355,0 days 00:04:02.204759,"[896, 768, 640, 512]",[2],"[1, 2]",4,False,0.3,decreasing,gelu,32,False,512.0,1e-05,L2,True,AdamW,mean,1e-07,
22,0.445569891222153,COMPLETE,2025-12-09 02:32:41.171354,2025-12-09 02:36:37.462314,0 days 00:03:56.290960,"[768, 640, 512, 448]",[2],"[1, 2]",4,False,0.3,decreasing,gelu,32,False,512.0,1e-05,L2,True,AdamW,mean,1e-07,
23,0.4290318338477103,COMPLETE,2025-12-09 02:36:37.464445,2025-12-09 02:39:52.956949,0 days 00:03:15.492504,"[768, 640, 512, 448]",[2],"[1, 2]",4,False,0.3,decreasing,gelu,32,False,512.0,1e-05,L2,True,AdamW,mean,1e-07,
24,0.4101853924882821,COMPLETE,2025-12-09 02:39:52.957949,2025-12-09 02:43:20.285267,0 days 00:03:27.327318,"[896, 768, 640, 512]",[2],"[1, 2]",4,False,0.3,decreasing,gelu,32,False,512.0,1e-05,L2,True,AdamW,mean,1e-07,
25,0.34846044091962863,COMPLETE,2025-12-09 02:43:20.286275,2025-12-09 02:46:19.779516,0 days 00:02:59.493241,"[768, 640, 512, 448]",[2],"[1, 2]",4,False,0.1,decreasing,silu,32,False,1024.0,0.0002,L2,True,AdamW,mean,1e-07,
26,0.21758419036095988,COMPLETE,2025-12-09 02:46:19.781019,2025-12-09 02:48:24.393101,0 days 00:02:04.612082,"[768, 640, 512]","[1, 2]",[2],3,False,0.3,decreasing,gelu,128,True,512.0,0.001,minmax,True,AdamW,mean,1e-06,
27,0.4047986092740815,COMPLETE,2025-12-09 02:48:24.394105,2025-12-09 02:49:59.413634,0 days 00:01:35.019529,[896],[],[],1,True,0.0,decreasing,gelu,96,False,512.0,2e-05,L2,True,AdamW,mean,1e-05,
28,0.2393838631835478,COMPLETE,2025-12-09 02:49:59.414664,2025-12-09 02:52:40.194615,0 days 00:02:40.779951,"[768, 640, 512, 448]",[2],"[1, 2]",4,False,0.3,decreasing,silu,16,False,512.0,5e-05,L2,True,SGD,mean,0.0,0.0
29,0.4108810159631854,COMPLETE,2025-12-09 02:52:40.195616,2025-12-09 02:54:27.783932,0 days 00:01:47.588316,"[896, 768]",[],[1],2,False,0.0,decreasing,,32,False,,0.0001,L2,True,Adam,max,1e-07,
30,0.2861123037537587,COMPLETE,2025-12-09 02:54:27.785205,2025-12-09 02:56:40.984608,0 days 00:02:13.199403,"[768, 640, 512]","[1, 2]",[2],3,False,0.2,decreasing,gelu,32,False,1024.0,1e-05,L2,True,AdamW,mean,1e-07,
31,0.4165879748953188,COMPLETE,2025-12-09 02:56:40.985609,2025-12-09 03:00:04.908671,0 days 00:03:23.923062,"[448, 512, 640, 768]",[],[1],4,False,0.0,increasing,gelu,32,False,512.0,1e-05,L2,True,AdamW,mean,1e-07,
32,0.41872998212986784,COMPLETE,2025-12-09 03:00:04.909670,2025-12-09 03:02:34.464406,0 days 00:02:29.554736,"[256, 384, 448, 512]",[2],"[1, 2]",4,False,0.3,increasing,gelu,32,False,512.0,1e-05,L2,True,AdamW,mean,1e-07,
