number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.46150744646438635,2025-06-11 02:36:54.882015,2025-06-11 02:40:45.382375,0 days 00:03:50.500360,32,True,0.4,64,0.001,L2,2,COMPLETE
1,0.4426336443009459,2025-06-11 02:36:54.882015,2025-06-11 02:41:55.369526,0 days 00:05:00.487511,32,False,0.4,64,0.001,minmax,1,COMPLETE
2,0.3941741974281662,2025-06-11 02:36:54.882015,2025-06-11 02:39:55.930809,0 days 00:03:01.048794,32,False,0.0,128,0.0001,L2,3,COMPLETE
3,0.445864405492473,2025-06-11 02:36:54.882015,2025-06-11 02:40:50.686887,0 days 00:03:55.804872,32,True,0.1,64,0.001,minmax,2,COMPLETE
4,0.2764745356562058,2025-06-11 02:39:55.942889,2025-06-11 02:41:15.294410,0 days 00:01:19.351521,128,False,0.3,64,0.0001,minmax,3,COMPLETE
5,0.43598297269224845,2025-06-11 02:40:45.384376,2025-06-11 02:43:03.806475,0 days 00:02:18.422099,64,False,0.0,256,0.001,L2,2,COMPLETE
6,0.3655748848923389,2025-06-11 02:40:50.686887,2025-06-11 02:45:01.321834,0 days 00:04:10.634947,32,False,0.5,64,0.001,L2,3,COMPLETE
7,0.42346451631465865,2025-06-11 02:41:15.301059,2025-06-11 02:43:23.840216,0 days 00:02:08.539157,64,False,0.5,64,0.001,L2,2,COMPLETE
8,0.3917382878371597,2025-06-11 02:41:55.369526,2025-06-11 02:44:24.551890,0 days 00:02:29.182364,64,True,0.2,64,0.0001,minmax,1,COMPLETE
9,0.44135594712740345,2025-06-11 02:43:03.808475,2025-06-11 02:47:58.952698,0 days 00:04:55.144223,32,True,0.0,256,0.001,L2,1,COMPLETE
10,0.3532604004669687,2025-06-11 02:43:23.840216,2025-06-11 02:46:08.640926,0 days 00:02:44.800710,64,False,0.4,128,0.0001,minmax,3,COMPLETE
11,0.43303863285442235,2025-06-11 02:44:24.553891,2025-06-11 02:48:35.284142,0 days 00:04:10.730251,64,True,0.0,128,0.001,L2,3,COMPLETE
12,0.3656323477410365,2025-06-11 02:45:01.321834,2025-06-11 02:47:04.205017,0 days 00:02:02.883183,128,False,0.4,128,0.0001,minmax,3,COMPLETE
13,0.3084962329154065,2025-06-11 02:46:08.647552,2025-06-11 02:48:16.549356,0 days 00:02:07.901804,128,True,0.4,256,1e-05,L2,1,COMPLETE
14,0.22705008647941174,2025-06-11 02:47:04.208018,2025-06-11 02:52:40.610047,0 days 00:05:36.402029,32,True,0.1,256,1e-05,L2,2,COMPLETE
15,0.24316373521390924,2025-06-11 02:47:58.954905,2025-06-11 02:52:54.086363,0 days 00:04:55.131458,32,True,0.1,64,1e-05,minmax,2,COMPLETE
16,0.2391824553687564,2025-06-11 02:48:16.551357,2025-06-11 02:52:58.047963,0 days 00:04:41.496606,32,True,0.1,64,1e-05,minmax,2,COMPLETE
17,0.3069424004273784,2025-06-11 02:48:35.286471,2025-06-11 02:53:35.967178,0 days 00:05:00.680707,32,True,0.1,64,1e-05,minmax,2,COMPLETE
18,0.4432532656053366,2025-06-11 02:52:40.612214,2025-06-11 02:55:37.551531,0 days 00:02:56.939317,32,True,0.1,64,0.001,minmax,2,COMPLETE
19,0.4463197611093455,2025-06-11 02:52:54.093240,2025-06-11 02:55:43.296596,0 days 00:02:49.203356,32,True,0.1,64,0.001,minmax,2,COMPLETE
