extractor,model,normalization,accuracy,f1_macro
baseline_CASIAB.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
baseline_CASIAB.csv,Transformer,l2,0.4827586206896552,0.2170542635658915
baseline_OUMVLP.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
baseline_OUMVLP.csv,Transformer,l2,0.4827586206896552,0.2170542635658915
gaitgl.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
gaitgl.csv,Transformer,l2,0.4367816091954023,0.3550857411322528
gaitgl_GREW.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
gaitgl_GREW.csv,Transformer,l2,0.5057471264367817,0.4002587450863313
gaitgl_GREW_BNNeck.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
gaitgl_GREW_BNNeck.csv,Transformer,l2,0.4827586206896552,0.2170542635658915
gaitgl_OUMVLP.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
gaitgl_OUMVLP.csv,Transformer,l2,0.4827586206896552,0.2170542635658915
gaitpart.csv,Transformer,minmax,0.5454545454545454,0.23529411764705885
gaitpart.csv,Transformer,l2,0.45454545454545453,0.35555555555555557
gaitpart_GREW.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
gaitpart_GREW.csv,Transformer,l2,0.4827586206896552,0.2170542635658915
gaitpart_OUMVLP.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
gaitpart_OUMVLP.csv,Transformer,l2,0.4827586206896552,0.2170542635658915
gaitset.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
gaitset.csv,Transformer,l2,0.4827586206896552,0.2170542635658915
gaitset_GREW.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
gaitset_GREW.csv,Transformer,l2,0.4827586206896552,0.2170542635658915
gaitset_OUMVLP.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
gaitset_OUMVLP.csv,Transformer,l2,0.4827586206896552,0.2170542635658915
gln_phase1.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
gln_phase1.csv,Transformer,l2,0.4827586206896552,0.2170542635658915
gln_phase2.csv,Transformer,minmax,0.4827586206896552,0.2170542635658915
gln_phase2.csv,Transformer,l2,0.4827586206896552,0.2170542635658915
