model_csv,timestamp,_ts,dur_min_est
MLP,20250826_192433,2025-08-26 19:24:33,2.1666666666666665
MLP,20250826_192643,2025-08-26 19:26:43,1.8166666666666667
MLP,20250826_192832,2025-08-26 19:28:32,5.266666666666667
MLP,20250826_193348,2025-08-26 19:33:48,5.1
MLP,20250826_193854,2025-08-26 19:38:54,2.45
MLP,20250826_194121,2025-08-26 19:41:21,5.366666666666666
MLP,20250826_194643,2025-08-26 19:46:43,2.783333333333333
MLP,20250826_194930,2025-08-26 19:49:30,9.516666666666667
MLP,20250826_195901,2025-08-26 19:59:01,4.716666666666667
MLP,20250826_200344,2025-08-26 20:03:44,8.85
MLP,20250826_201235,2025-08-26 20:12:35,1.8666666666666667
MLP,20250826_201427,2025-08-26 20:14:27,2.4166666666666665
MLP,20250826_201652,2025-08-26 20:16:52,1.7833333333333334
LSTM_modular,20250916_022058,2025-09-16 02:20:58,103.03333333333333
LSTM_modular,20250916_040400,2025-09-16 04:04:00,3.4833333333333334
LSTM_modular,20250916_040729,2025-09-16 04:07:29,6.916666666666667
LSTM_modular,20250916_041424,2025-09-16 04:14:24,8.5
LSTM_modular,20250916_042254,2025-09-16 04:22:54,8.55
LSTM_modular,20250916_043127,2025-09-16 04:31:27,2.9833333333333334
LSTM_modular,20250916_043426,2025-09-16 04:34:26,5.5
LSTM_modular,20250916_043956,2025-09-16 04:39:56,2.533333333333333
LSTM_modular,20250916_044228,2025-09-16 04:42:28,6.433333333333334
LSTM_modular,20250916_044854,2025-09-16 04:48:54,3.5166666666666666
LSTM_modular,20250916_045225,2025-09-16 04:52:25,10.916666666666666
LSTM_modular,20250916_050320,2025-09-16 05:03:20,7.233333333333333
LSTM_modular,20250916_051034,2025-09-16 05:10:34,2.0833333333333335
LSTM_modular_attention,20250916_133125,2025-09-16 13:31:25,88.75
LSTM_modular_attention,20250916_150010,2025-09-16 15:00:10,7.066666666666666
LSTM_modular_attention,20250916_150714,2025-09-16 15:07:14,11.216666666666667
LSTM_modular_attention,20250916_151827,2025-09-16 15:18:27,9.8
LSTM_modular_attention,20250916_152815,2025-09-16 15:28:15,10.633333333333333
LSTM_modular_attention,20250916_153853,2025-09-16 15:38:53,14.483333333333333
LSTM_modular_attention,20250916_155322,2025-09-16 15:53:22,10.85
LSTM_modular_attention,20250916_160413,2025-09-16 16:04:13,1.8833333333333333
LSTM_modular_attention,20250916_160606,2025-09-16 16:06:06,5.833333333333333
LSTM_modular_attention,20250916_161156,2025-09-16 16:11:56,5.6
LSTM_modular_attention,20250916_161732,2025-09-16 16:17:32,12.1
LSTM_modular_attention,20250916_162938,2025-09-16 16:29:38,7.916666666666667
LSTM_modular_attention,20250916_163733,2025-09-16 16:37:33,2.2666666666666666
